Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,2h,0.005329,53.582967,187.642978,1.506479,1.000000,1.000000,2,35884,8935,26949,8935,24.902463,115881.841699,59429.883398,4461.767578,14485.230212,7428.735425,557.720947,14489.244375,7470.648750,1487.255859
1,4h,0.005444,52.395898,183.680615,1.509926,1.000000,1.000000,2,17855,4411,13444,4411,24.721367,231207.101221,117186.502441,8923.535156,28900.887653,14648.312805,1115.441895,28903.172314,14678.644629,2974.511719
1,8h,0.005503,51.815404,181.728684,1.512641,1.000000,1.000000,2,8910,2194,6716,2194,24.624018,404128.667627,203626.835254,11898.583984,57732.666804,29089.547893,1699.797712,57736.763330,29094.636387,5949.291992
1,12h,0.005532,51.472454,180.779936,1.504134,1.000000,1.000000,2,5924,1443,4481,1443,24.375422,605573.896094,304478.192187,17848.144531,86510.556585,43496.884598,2549.734933,86576.446777,43555.893555,8924.072266
1,24h,0.005569,50.998994,179.569688,1.509236,1.000000,1.000000,2,2946,703,2243,703,23.964698,1383751.914258,694398.828516,53545.239258,172968.989282,86799.853564,6693.154907,173095.497119,86993.094238,17848.413086
2,2h,0.005329,53.582967,187.642978,1.506479,1.000000,1.000000,2,35884,8935,26949,8935,24.902463,115881.841699,59429.883398,4461.767578,14485.230212,7428.735425,557.720947,14489.244375,7470.648750,1487.255859
2,4h,0.005444,52.395898,183.680615,1.509926,1.000000,1.000000,2,17855,4411,13444,4411,24.721367,231207.101221,117186.502441,8923.535156,28900.887653,14648.312805,1115.441895,28903.172314,14678.644629,2974.511719
2,8h,0.005503,51.815404,181.728684,1.512641,1.000000,1.000000,2,8910,2194,6716,2194,24.624018,404128.667627,203626.835254,11898.583984,57732.666804,29089.547893,1699.797712,57736.763330,29094.636387,5949.291992
2,12h,0.005532,51.472454,180.779936,1.504134,1.000000,1.000000,2,5924,1443,4481,1443,24.375422,605573.896094,304478.192187,17848.144531,86510.556585,43496.884598,2549.734933,86576.446777,43555.893555,8924.072266
2,24h,0.005569,50.998994,179.569688,1.509236,1.000000,1.000000,2,2946,703,2243,703,23.964698,1383751.914258,694398.828516,53545.239258,172968.989282,86799.853564,6693.154907,173095.497119,86993.094238,17848.413086
3,2h,0.005331,53.569326,187.596977,1.674889,1.000000,1.000000,3,35888,8934,26954,8934,24.899688,159163.331250,81187.462500,11074.218750,14469.393750,7380.678409,1006.747159,14489.244375,7470.648750,1933.593750
3,4h,0.005444,52.401542,183.684105,1.681565,1.000000,1.000000,3,17864,4414,13450,4414,24.725705,317770.080322,160701.660645,22148.437500,28888.189120,14609.241877,2013.494318,28903.172314,14678.644629,3867.187500
3,8h,0.005504,51.799706,181.694770,1.680659,1.000000,1.000000,3,8912,2191,6721,2191,24.607271,692683.890967,348730.681934,50625.000000,57723.657581,29060.890161,4218.750000,57731.028193,29094.636387,7734.375000
3,12h,0.005532,51.467189,180.768664,1.672647,1.000000,1.000000,3,5927,1442,4485,1442,24.396828,778689.440039,391503.280078,44296.875000,86521.048893,43500.364453,4921.875000,86577.656250,43555.312500,11601.562500
3,24h,0.005570,50.975330,179.523442,1.676882,1.000000,1.000000,3,2947,703,2244,703,23.956566,1730007.610400,868503.920801,111796.875000,173000.761040,86850.392080,11179.687500,173125.312500,87050.625000,23203.125000
4,2h,0.005331,53.569326,187.596977,1.674889,1.000000,1.000000,3,35888,8934,26954,8934,24.899688,159163.331250,81187.462500,11074.218750,14469.393750,7380.678409,1006.747159,14489.244375,7470.648750,1933.593750
4,4h,0.005444,52.401542,183.684105,1.681565,1.000000,1.000000,3,17864,4414,13450,4414,24.725705,317770.080322,160701.660645,22148.437500,28888.189120,14609.241877,2013.494318,28903.172314,14678.644629,3867.187500
4,8h,0.005504,51.799706,181.694770,1.680659,1.000000,1.000000,3,8912,2191,6721,2191,24.607271,692683.890967,348730.681934,50625.000000,57723.657581,29060.890161,4218.750000,57731.028193,29094.636387,7734.375000
4,12h,0.005532,51.467189,180.768664,1.672647,1.000000,1.000000,3,5927,1442,4485,1442,24.396828,778689.440039,391503.280078,44296.875000,86521.048893,43500.364453,4921.875000,86577.656250,43555.312500,11601.562500
4,24h,0.005570,50.975330,179.523442,1.676882,1.000000,1.000000,3,2947,703,2244,703,23.956566,1730007.610400,868503.920801,111796.875000,173000.761040,86850.392080,11179.687500,173125.312500,87050.625000,23203.125000
5,2h,0.005373,53.147151,186.128626,1.673105,1.000000,1.000000,3,35805,8909,26896,8909,24.893171,217109.083887,110440.767773,16225.341797,14473.938926,7362.717852,1081.689453,14492.183086,7427.086172,1757.812500
5,4h,0.005467,52.178472,182.930069,1.680449,1.000000,1.000000,3,17865,4410,13455,4410,24.696334,317604.740625,160443.881250,20011.523438,28873.158239,14585.807386,1819.229403,28897.079883,14614.172344,3515.625000
5,8h,0.005514,51.710239,181.362067,1.674422,1.000000,1.000000,3,8918,2193,6725,2193,24.646782,519316.355469,261338.110937,25961.083984,57701.817274,29037.567882,2884.564887,57736.763330,29076.826660,7031.250000
5,12h,0.005539,51.395298,180.522113,1.673400,1.000000,1.000000,3,5926,1442,4484,1442,24.367195,951885.470313,478347.340625,60035.644531,86535.042756,43486.121875,5457.785866,86576.446777,43555.893555,10546.875000
5,24h,0.005573,50.963442,179.448570,1.668073,1.000000,1.000000,3,2953,704,2249,704,23.941754,1729853.022754,868051.045508,98978.076172,172985.302275,86805.104551,9897.807617,173095.497119,86993.094238,21093.750000
6,2h,0.005373,53.147151,186.128626,1.673105,1.000000,1.000000,3,35805,8909,26896,8909,24.893171,217109.083887,110440.767773,16225.341797,14473.938926,7362.717852,1081.689453,14492.183086,7427.086172,1757.812500
6,4h,0.005467,52.178472,182.930069,1.680449,1.000000,1.000000,3,17865,4410,13455,4410,24.696334,317604.740625,160443.881250,20011.523438,28873.158239,14585.807386,1819.229403,28897.079883,14614.172344,3515.625000
6,8h,0.005514,51.710239,181.362067,1.674422,1.000000,1.000000,3,8918,2193,6725,2193,24.646782,519316.355469,261338.110937,25961.083984,57701.817274,29037.567882,2884.564887,57736.763330,29076.826660,7031.250000
6,12h,0.005539,51.395298,180.522113,1.673400,1.000000,1.000000,3,5926,1442,4484,1442,24.367195,951885.470313,478347.340625,60035.644531,86535.042756,43486.121875,5457.785866,86576.446777,43555.893555,10546.875000
6,24h,0.005573,50.963442,179.448570,1.668073,1.000000,1.000000,3,2953,704,2249,704,23.941754,1729853.022754,868051.045508,98978.076172,172985.302275,86805.104551,9897.807617,173095.497119,86993.094238,21093.750000
7,2h,0.005369,53.202395,186.269309,2.846052,1.000000,1.000000,3,35763,8918,26845,8918,24.941979,118477.822394,64165.544788,178.240400,14809.727799,8020.693099,22.280050,14984.115234,8368.230469,59.413467
7,4h,0.005463,52.226180,183.051311,2.846877,1.000000,1.000000,3,17839,4413,13426,4413,24.749145,293219.738234,154473.076467,6424.331172,29321.973823,15447.307647,642.433117,29938.230469,16676.460938,2974.511719
7,8h,0.005516,51.669462,181.305164,2.847630,1.000000,1.000000,3,8901,2184,6717,2184,24.559038,581484.853348,299045.606695,19036.145313,58148.485335,29904.560670,1903.614531,59846.460938,33292.921875,5949.291992
7,12h,0.005537,51.422804,180.600887,2.827544,1.000000,1.000000,3,5922,1443,4479,1443,24.383654,868632.940739,441376.881479,37478.693066,86863.294074,44137.688148,3747.869307,89754.691406,49909.382812,8924.072266
7,24h,0.005570,50.995088,179.534592,2.836357,1.000000,1.000000,3,2948,705,2243,705,23.914518,1736406.295736,881018.991473,74958.460352,173640.629574,88101.899147,7495.846035,179479.382812,99758.765625,17848.413086
8,2h,0.005369,53.202395,186.269309,2.846052,1.000000,1.000000,3,35763,8918,26845,8918,24.941979,118477.822394,64165.544788,178.240400,14809.727799,8020.693099,22.280050,14984.115234,8368.230469,59.413467
8,4h,0.005463,52.226180,183.051311,2.846877,1.000000,1.000000,3,17839,4413,13426,4413,24.749145,293219.738234,154473.076467,6424.331172,29321.973823,15447.307647,642.433117,29938.230469,16676.460938,2974.511719
8,8h,0.005516,51.669462,181.305164,2.847630,1.000000,1.000000,3,8901,2184,6717,2184,24.559038,581484.853348,299045.606695,19036.145313,58148.485335,29904.560670,1903.614531,59846.460938,33292.921875,5949.291992
8,12h,0.005537,51.422804,180.600887,2.827544,1.000000,1.000000,3,5922,1443,4479,1443,24.383654,868632.940739,441376.881479,37478.693066,86863.294074,44137.688148,3747.869307,89754.691406,49909.382812,8924.072266
8,24h,0.005570,50.995088,179.534592,2.836357,1.000000,1.000000,3,2948,705,2243,705,23.914518,1736406.295736,881018.991473,74958.460352,173640.629574,88101.899147,7495.846035,179479.382812,99758.765625,17848.413086
9,2h,0.005416,52.716062,184.647526,2.139594,1.000000,1.000000,3,35856,8912,26944,8912,24.866131,144564.971826,73559.543652,7436.279297,14456.497183,7355.954365,743.627930,14478.539941,7358.879883,1487.255859
9,4h,0.005491,51.921536,182.108507,2.135649,1.000000,1.000000,3,17839,4391,13448,4391,24.625820,346534.516846,174994.833691,20821.582031,28877.876404,14582.902808,1735.131836,28897.079883,14597.759766,2974.511719
9,8h,0.005524,51.618239,181.028392,2.128905,1.000000,1.000000,3,8913,2194,6719,2194,24.626949,403893.855420,203054.910840,11898.583984,57699.122203,29007.844406,1699.797712,57736.763330,29076.826660,5949.291992
9,12h,0.005546,51.339053,180.312484,2.126109,1.000000,1.000000,3,5924,1442,4482,1442,24.409183,691954.626758,347479.453516,26772.216797,86494.328345,43434.931689,3346.527100,86576.446777,43555.893555,8924.072266
9,24h,0.005577,50.916824,179.310634,2.120249,1.000000,1.000000,3,2947,702,2245,702,23.888700,1729838.471875,867869.243750,89242.065430,172983.847188,86786.924375,8924.206543,173095.497119,86993.094238,17848.413086
10,2h,0.005444,52.454084,183.676584,4.049419,1.000000,1.000000,3,35829,8927,26902,8927,24.918362,101076.033789,51267.067578,2064.990234,14439.433398,7323.866797,294.998605,14494.891895,7396.383789,1487.255859
10,4h,0.005503,51.822639,181.706269,4.054430,1.000000,1.000000,3,17832,4399,13433,4399,24.680350,375393.087891,189415.975781,16519.921875,28876.391376,14570.459675,1270.763221,28899.783789,14612.767578,2974.511719
10,8h,0.005531,51.542405,180.793361,4.052574,1.000000,1.000000,3,8916,2193,6723,2193,24.607447,634494.087402,318936.774805,24782.446289,57681.280673,28994.252255,2252.949663,57736.763330,29076.826660,5949.291992
10,12h,0.005550,51.291476,180.173566,4.046874,1.000000,1.000000,3,5922,1439,4483,1439,24.400540,778580.630029,390825.160059,30239.208984,86508.958892,43425.017784,3359.912109,86576.446777,43555.893555,8924.072266
10,24h,0.005577,50.918379,179.309964,4.045490,1.000000,1.000000,3,2948,702,2246,702,23.948440,2075591.273193,1040917.246387,81283.520508,172965.939433,86743.103866,6773.626709,173095.497119,86993.094238,17848.413086
11,2h,0.005444,52.454084,183.676584,4.049419,1.000000,1.000000,3,35829,8927,26902,8927,24.918362,101076.033789,51267.067578,2064.990234,14439.433398,7323.866797,294.998605,14494.891895,7396.383789,1487.255859
