Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
5,24h,0.005038,9.692686,198.475569,4.963315,0.566964,0.575949,2,83,26,31.325301,16514599.440625,2212773.281250,289267.812500,635176.901563,85106.664663,11125.685096,2247038.437500,87676.875000,45140.625000
6,1h,0.001977,9.471228,505.909601,0.948417,0.758814,0.768910,3,1925,455,23.636364,13819477.972095,1716361.194189,55191.955566,30372.479060,3772.222405,121.301001,31888.539575,3776.579150,2285.156250
6,6h,0.002021,9.434643,494.832178,0.960702,0.758814,0.768910,3,325,90,27.692308,16230900.984595,1917992.719189,47577.575684,180343.344273,21311.030213,528.639730,191168.746851,21931.104102,11601.508789
6,12h,0.001988,9.618713,503.094563,0.932998,0.758814,0.768910,3,165,44,26.666667,15825707.179004,1857250.858008,44326.557617,359675.163159,42210.246773,1007.421764,382247.493701,43802.208203,23203.017578
6,18h,0.002015,9.464081,496.267501,0.960461,0.758814,0.768910,3,112,34,30.357143,17458683.359863,2081362.469727,71789.357910,513490.687055,61216.543227,2111.451703,573326.240552,65673.312305,34804.526367
6,24h,0.002003,9.609551,499.304903,0.930081,0.758814,0.768910,3,86,24,27.906977,17754687.020654,2079988.191309,46406.223145,739778.625861,86666.174638,1933.592631,764404.987402,87544.770801,46406.223145
7,1h,0.004157,9.340726,240.585643,2.193987,0.858948,0.877561,3,1923,449,23.348934,12867070.305664,1666796.611328,90666.503906,28657.172173,3712.241896,201.929853,66531.202148,3793.404297,2285.156250
7,6h,0.004242,9.455013,235.765008,2.213273,0.858948,0.877561,3,327,89,27.217125,14600398.608496,1917861.516992,110763.281250,164049.422567,21549.005809,1244.531250,398793.518994,21976.406250,13710.937500
7,12h,0.004246,9.512423,235.533161,2.225734,0.858948,0.877561,3,166,48,28.915663,16835258.822241,2008985.894482,137290.383301,350734.558797,41853.872802,2860.216319,797553.344092,43550.038184,14473.544922
7,18h,0.004376,9.487432,228.543652,2.183752,0.858948,0.877561,3,112,33,29.464286,15037343.892139,2098712.484277,109593.715820,455677.087641,63597.348008,3321.021692,1196313.169189,65236.588379,10007.778320
7,24h,0.004413,9.624457,226.595761,2.175504,0.858948,0.877561,3,87,22,25.287356,11876095.614307,1827182.878613,78178.515625,539822.527923,83053.767210,3553.568892,1595072.994287,86923.138574,11065.234375
8,1h,0.005061,9.386015,197.595942,5.007153,0.717720,0.723329,3,1925,462,24.000000,13834450.348730,1726596.497461,252603.994141,29944.697725,3737.221856,546.761892,95890.745410,3766.390820,2285.156250
8,6h,0.005179,9.459800,193.091550,4.974955,0.717720,0.723329,3,327,86,26.299694,14415415.668262,1862276.736523,257208.173828,167621.112422,21654.380657,2990.792719,575044.472461,21998.344922,11573.554688
8,12h,0.004950,9.715915,202.027635,5.156049,0.717720,0.723329,3,166,49,29.518072,20185720.583765,2095327.017529,371073.566895,411953.481301,42761.775868,7572.929937,1150080.857568,43878.665137,23148.154297
8,18h,0.005140,9.611874,194.570662,5.025437,0.717720,0.723329,3,113,31,27.433628,15017510.555273,1998740.110547,263608.710938,484435.824364,64475.487437,8503.506804,1725117.242676,65758.985352,34722.753906
8,24h,0.005076,9.743365,197.013196,5.062762,0.717720,0.723329,3,86,26,30.232558,18216266.366357,2264295.482715,324081.474609,700625.629475,87088.287797,12464.672100,2300153.627783,87639.305566,46297.353516
9,1h,0.004730,9.286169,211.420806,2.560155,0.881173,0.889815,3,1921,459,23.893805,13282996.785425,1696314.070850,137473.925781,28938.990818,3695.673357,299.507464,74182.512915,3760.429687,1691.894531
9,6h,0.004829,9.441873,207.068965,2.625473,0.881173,0.889815,3,325,92,28.307692,14275553.816455,1955017.832910,172728.046875,155169.063222,21250.193836,1877.478770,444850.683276,21962.578125,10151.367188
9,12h,0.004678,9.544768,213.750117,2.570037,0.881173,0.889815,3,167,44,26.347305,14047041.840820,1824844.481641,134976.030273,319250.950928,41473.738219,3067.637052,889696.972339,43805.156250,20302.734375
9,18h,0.004820,9.480072,207.484544,2.574034,0.881173,0.889815,3,112,33,29.464286,12936637.804688,2025781.209375,148838.437500,392019.327415,61387.309375,4510.255682,1334598.867188,65647.734375,30454.101562
9,24h,0.004856,9.472222,205.911329,2.486225,0.881173,0.889815,3,83,21,25.301205,11823159.701636,1760675.903271,78793.359375,563007.604840,83841.709680,3752.064732,1779389.550464,86887.600928,12499.609375
10,1h,0.005876,9.357598,170.190179,5.350501,0.773810,0.765476,3,1923,458,23.816953,13814270.452002,1707639.904004,283858.134766,30162.162559,3728.471406,619.777587,115257.740479,3760.429687,2351.074219
10,6h,0.005890,9.464979,169.768667,5.355364,0.773810,0.765476,3,325,84,25.846154,14298784.441992,1819379.283984,276704.707031,170223.624309,21659.277190,3294.103655,691396.442871,21992.885742,14106.445312
10,12h,0.005671,9.605032,176.327634,5.495378,0.773810,0.765476,3,164,48,29.268293,21214399.306250,2071019.412500,424280.976562,441966.652214,43146.237760,8839.187012,1382762.885742,43925.771484,28212.890625
10,18h,0.006084,9.446988,164.376305,5.255091,0.773810,0.765476,3,111,31,27.927928,13153777.192969,1963867.185938,277844.208984,424315.393322,63350.554385,8962.716419,2074129.328613,65858.657227,42319.335938
10,24h,0.005991,9.502881,166.908466,5.257741,0.773810,0.765476,3,85,25,29.411765,15716990.827344,2109645.654688,289706.601562,628679.633094,84385.826188,11588.264063,2765495.771484,87791.542969,56425.781250
11,1h,0.005807,9.349391,172.199930,6.614602,0.937500,0.943490,3,1923,454,23.608944,13823289.091406,1690919.782812,328119.921875,30447.773329,3724.492914,722.731105,93712.851562,3825.703125,1880.859375
11,6h,0.005999,9.501086,166.704194,6.615215,0.937500,0.943490,3,325,91,28.000000,13536916.919922,1940715.039844,355934.375000,148757.328790,21326.538899,3911.366758,561827.109375,22223.367969,11285.156250
11,12h,0.005951,9.602199,168.032386,6.698516,0.937500,0.943490,3,164,45,27.439024,16205040.439844,1925347.279688,386917.187500,360112.009774,42785.495104,8598.159722,1123564.218750,44386.735938,22570.312500
11,18h,0.006081,9.646456,164.435781,6.654156,0.937500,0.943490,3,111,32,28.828829,13713169.317969,2084440.235937,349016.406250,428536.541187,65138.757373,10906.762695,1685301.328125,66551.232617,33855.468750
11,24h,0.006379,9.532861,156.766889,6.537814,0.937500,0.943490,3,85,24,28.235294,9221947.117090,1955543.734180,301267.578125,384247.796545,81480.988924,12552.815755,2247038.437500,88714.600586,45140.625000
12,1h,0.004718,9.269450,211.954733,2.621046,0.910880,0.923611,4,1924,460,23.908524,13568689.192261,1697194.034521,140944.768066,29497.150418,3689.552249,306.401670,74182.512915,3734.525830,2285.156250
12,6h,0.004758,9.463058,210.175253,2.698211,0.910880,0.923611,4,330,92,27.878788,14634263.319214,1951453.338428,176658.525391,159068.079557,21211.449331,1920.201363,444850.683276,21976.406250,13710.937500
12,12h,0.004739,9.518169,211.021390,2.638769,0.910880,0.923611,4,169,45,26.627219,14080588.523730,1841772.747461,149864.702148,312901.967194,40928.283277,3330.326714,889696.972339,43802.208203,23203.017578
12,18h,0.004734,9.561090,211.250645,2.643167,0.910880,0.923611,4,114,32,28.070175,13982516.862012,2041266.624023,145120.151367,436953.651938,63789.582001,4535.004730,1334598.867188,65673.312305,34804.526367
12,24h,0.004737,9.634614,211.082909,2.591505,0.910880,0.923611,4,90,23,25.555556,13324814.833154,1835545.316309,90334.733887,579339.775355,79806.318100,3927.597126,1779389.550464,86887.600928,12499.609375
13,1h,0.005891,9.336545,169.742071,5.416465,0.830357,0.830357,4,1927,457,23.715620,13261842.797339,1700408.544678,285959.558105,29019.349666,3720.806443,625.732075,115257.740479,3731.939453,2351.074219
13,6h,0.005962,9.433261,167.724741,5.404484,0.830357,0.830357,4,328,86,26.219512,12995544.833447,1815674.266895,275381.503906,151110.986435,21112.491476,3202.110511,691396.442871,21992.885742,14106.445312
13,12h,0.005669,9.608448,176.388704,5.567305,0.830357,0.830357,4,167,49,29.341317,21273618.109473,2074221.018945,432730.917969,434155.471622,42331.041203,8831.243224,1382762.885742,43925.771484,28212.890625
13,18h,0.005981,9.525742,167.199334,5.379376,0.830357,0.830357,4,117,33,28.205128,15907716.453467,2032553.706934,333681.279297,482052.013741,61592.536574,10111.553918,2074129.328613,65858.657227,42319.335938
13,24h,0.005891,9.593152,169.748234,5.416271,0.830357,0.830357,4,89,27,30.337079,18168655.367090,2199522.434180,347912.045898,672913.161744,81463.793859,12885.631330,2765495.771484,87791.542969,56425.781250
14,1h,0.005999,9.300868,166.708234,6.677362,0.957933,0.962139,4,1929,454,23.535511,14020001.479297,1678246.558594,332249.863281,30881.060527,3696.578323,731.827893,95890.745410,3766.390820,1928.925781
14,6h,0.006143,9.463575,162.795452,6.710446,0.957933,0.962139,4,329,91,27.659574,13948780.390039,1926041.780078,358759.257812,153283.300989,21165.294287,3942.409427,575044.472461,22223.367969,11573.554688
14,12h,0.006082,9.616204,164.414261,6.773999,0.957933,0.962139,4,170,47,27.647059,14903643.652271,1927972.554541,382079.558105,317098.801112,41020.692650,8129.352300,1150080.857568,44386.735938,23148.154297
14,18h,0.006282,9.584256,159.196231,6.693880,0.957933,0.962139,4,115,34,29.565217,14261991.493701,2155803.287402,381262.719727,419470.338050,63405.979041,11213.609404,1725117.242676,66551.232617,34722.753906
14,24h,0.006396,9.603990,156.358560,6.653289,0.957933,0.962139,4,90,23,25.555556,8927542.055200,1850920.910400,275129.787598,388154.002400,80474.822191,11962.164678,2300153.627783,88714.600586,46297.353516
15,1h,0.007318,9.273876,136.641424,7.021992,1.000000,0.993750,4,1929,455,23.587351,12613771.297510,1675508.895020,362532.973633,27722.574280,3682.437132,796.775766,115257.740479,3760.429687,2351.074219
15,6h,0.007427,9.503754,134.644953,7.010585,1.000000,0.993750,4,330,90,27.272727,12876949.627637,1948371.255273,398491.591797,143077.218085,21648.569503,4427.684353,691396.442871,22223.367969,14106.445312
15,12h,0.007294,9.627145,137.094302,7.110683,1.000000,0.993750,4,168,47,27.976190,14701710.156836,1995728.313672,451003.750000,312802.343762,42462.304546,9595.824468,1382762.885742,44386.735938,28212.890625
15,18h,0.007555,9.670917,132.361955,7.066642,1.000000,0.993750,4,114,34,29.824561,12717281.901465,2143313.702930,408502.238770,374037.702984,63038.638321,12014.771729,2074129.328613,66551.232617,42319.335938
15,24h,0.007394,9.517653,135.238385,6.985317,1.000000,0.993750,4,89,25,28.089888,13431041.235498,1938861.470996,361508.105469,537241.649420,77554.458840,14460.324219,2765495.771484,88714.600586,56425.781250
16,1h,0.007283,9.248402,137.300577,7.067478,1.000000,1.000000,5,1931,456,23.614707,13689390.071411,1675198.592822,374182.536621,30020.592262,3673.681125,820.575738,115257.740479,3753.142188,2351.074219
16,6h,0.007332,9.531046,136.383221,7.170466,1.000000,1.000000,5,335,92,27.462687,13160269.017969,1976018.635938,423052.763672,143046.402369,21478.463434,4598.399605,691396.442871,22223.367969,14106.445312
16,12h,0.007307,9.549903,136.858822,7.151897,1.000000,1.000000,5,169,47,27.810651,14474690.851660,1918631.903320,428741.005859,307972.145780,40821.955390,9122.149061,1382762.885742,44386.735938,28212.890625
16,18h,0.007470,9.570173,133.870449,7.133803,1.000000,1.000000,5,119,39,32.773109,14911468.965063,2270099.780127,501861.306152,382345.358079,58207.686670,12868.238619,2074129.328613,66551.232617,42319.335938
16,24h,0.007562,9.427390,132.243393,7.010954,1.000000,1.000000,5,91,26,28.571429,13254659.047217,1936235.144434,380095.012207,509794.578739,74470.582478,14619.038931,2765495.771484,88714.600586,56425.781250
