Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
4,8h,0.015055,9.625703,66.421169,5.002925,1.000000,1.000000,2,20,9,45.000000,1038444.300293,262583.100586,60187.500000,115382.700033,29175.900065,6687.500000,115472.812500,29345.625000,15046.875000
4,12h,0.014982,9.717971,66.747042,5.080312,1.000000,1.000000,2,20,8,40.000000,1384221.257812,349298.515625,67710.937500,173027.657227,43662.314453,8463.867188,173164.218750,43928.437500,22570.312500
4,24h,0.015015,9.692686,66.601979,4.963315,1.000000,1.000000,2,20,7,35.000000,2421634.078125,609780.156250,90281.250000,345947.725446,87111.450893,12897.321429,346238.437500,87676.875000,45140.625000
5,15m,0.013451,10.614485,74.343818,2.136588,1.000000,1.000000,2,20,7,35.000000,25526.177734,7078.355469,226.562500,3646.596819,1011.193638,32.366071,3717.784180,1142.568359,113.281250
5,30m,0.014481,9.838579,69.054220,2.130985,1.000000,1.000000,2,20,7,35.000000,50738.375000,13395.750000,453.125000,7248.339286,1913.678571,64.732143,7315.568359,2045.136719,226.562500
5,1h,0.015077,9.408705,66.324098,2.122977,1.000000,1.000000,2,20,8,40.000000,115711.124707,29890.149414,1360.546875,14463.890588,3736.268677,170.068359,14523.542871,3853.385742,453.515625
5,2h,0.015379,9.265983,65.021713,2.100290,1.000000,1.000000,2,20,6,30.000000,173058.077930,43826.755859,907.031250,28843.012988,7304.459310,151.171875,28927.085742,7466.771484,907.031250
5,4h,0.015276,9.421493,65.463433,2.123466,1.000000,1.000000,2,20,8,40.000000,461427.736816,116528.973633,5443.359375,57678.467102,14566.121704,680.419922,57746.577637,14696.655273,1814.453125
5,8h,0.015160,9.565397,65.961762,2.138186,1.000000,1.000000,2,20,8,40.000000,922345.473633,232037.947266,10886.718750,115293.184204,29004.743408,1360.839844,115373.155273,29153.310547,3628.906250
5,12h,0.015268,9.517364,65.494347,2.131314,1.000000,1.000000,2,20,6,30.000000,1037339.764160,260346.028320,5443.359375,172889.960693,43391.004720,907.226562,172999.732910,43609.965820,5443.359375
5,24h,0.015191,9.525971,65.830433,2.108689,1.000000,1.000000,2,20,7,35.000000,2420288.994141,607131.988281,21773.437500,345755.570592,86733.141183,3110.491071,345879.465820,86979.931641,10886.718750
6,15m,0.013079,10.912120,76.456763,0.961011,1.000000,1.000000,3,30,12,40.000000,43844.354443,12195.808887,3823.081055,3653.696204,1016.317407,318.590088,3678.259424,1077.518848,571.289062
6,30m,0.014229,10.010469,70.277981,0.963124,1.000000,1.000000,3,30,12,40.000000,87025.623633,23067.547266,7470.219727,7252.135303,1922.295605,622.518311,7266.518848,1975.037695,1142.578125
6,1h,0.014979,9.471228,66.760140,0.948417,1.000000,1.000000,3,29,8,27.586207,115704.762817,30005.525635,6152.075195,14463.095352,3750.690704,769.009399,14469.039575,3776.579150,2285.156250
6,2h,0.015223,9.369456,65.689854,0.947270,1.000000,1.000000,3,29,10,34.482759,258223.902393,65974.704785,17308.872070,25822.390239,6597.470479,1730.887207,28882.734375,7379.662061,4570.312500
6,4h,0.015325,9.393812,65.251958,0.943520,1.000000,1.000000,3,26,5,19.230769,288420.819702,72929.139404,0.000000,57684.163940,14585.827881,0.000000,57684.163940,14585.827881,0.000000
6,8h,0.015182,9.545163,65.867271,0.940653,1.000000,1.000000,3,23,8,34.782609,811679.354980,204584.709961,31640.234375,101459.919373,25573.088745,3955.029297,115409.802002,29221.354004,15468.615723
6,12h,0.015101,9.618713,66.222000,0.932998,1.000000,1.000000,3,23,8,34.782609,1171007.405762,294707.311523,44326.557617,146375.925720,36838.413940,5540.819702,173100.404102,43802.208203,23203.017578
6,24h,0.015201,9.609551,65.784358,0.930081,1.000000,1.000000,3,20,6,30.000000,2074707.147412,520684.644824,46406.223145,345784.524569,86780.774137,7734.370524,346172.210400,87544.770801,46406.223145
7,15m,0.013690,10.427191,73.045068,5.029699,1.000000,1.000000,3,30,9,30.000000,32865.042920,9167.635840,2016.416016,3651.671436,1018.626204,224.046224,3661.630029,1030.610059,571.289062
7,30m,0.014562,9.781451,68.672493,5.045462,1.000000,1.000000,3,30,9,30.000000,65285.797803,17232.145605,4392.197266,7253.977534,1914.682845,488.021918,7271.072705,1943.195410,1142.578125
7,1h,0.015115,9.386015,66.161390,5.007153,1.000000,1.000000,3,29,10,34.482759,144629.519238,37384.338477,10357.089844,14462.951924,3738.433848,1035.708984,14482.145410,3766.390820,2285.156250
7,2h,0.015238,9.358794,65.623920,5.053995,1.000000,1.000000,3,27,10,37.037037,288795.534277,73665.968555,21426.640625,28879.553428,7366.596855,2142.664062,28904.290820,7412.781641,4570.312500
7,4h,0.015188,9.470835,65.842374,5.043217,1.000000,1.000000,3,27,9,33.333333,442506.360107,112185.420215,21541.215820,49167.373345,12465.046691,2393.468424,57748.581641,14705.563281,7715.703125
7,8h,0.015073,9.609899,66.343212,5.072245,1.000000,1.000000,3,24,11,45.833333,1119162.577295,282943.754590,74523.823242,101742.052481,25722.159508,6774.893022,115444.975928,29293.101855,15432.451172
7,12h,0.014986,9.715915,66.729834,5.156049,1.000000,1.000000,3,25,9,36.000000,1388597.986938,350333.073877,70147.561035,154288.665215,38925.897097,7794.173448,173133.557568,43878.665137,23148.154297
7,24h,0.014970,9.743365,66.801475,5.062762,1.000000,1.000000,3,24,7,29.166667,2421587.058691,609705.017383,92594.707031,345941.008384,87100.716769,13227.815290,346214.927783,87639.305566,46297.353516
8,15m,0.013818,10.331587,72.370402,2.214772,1.000000,1.000000,3,30,12,40.000000,43655.169434,11825.838867,3086.914062,3637.930786,985.486572,257.242839,3690.800537,1083.351074,571.289062
8,30m,0.014684,9.702460,68.101164,2.202228,1.000000,1.000000,3,30,8,26.666667,57933.624023,15165.248047,1603.515625,7241.703003,1895.656006,200.439453,7291.601074,1986.702148,1142.578125
8,1h,0.015185,9.340726,65.855545,2.193987,1.000000,1.000000,3,30,10,33.333333,132390.644531,34061.289062,4029.785156,13239.064453,3406.128906,402.978516,14493.202148,3793.404297,2285.156250
8,2h,0.015397,9.251548,64.949434,2.193476,1.000000,1.000000,3,27,11,40.740741,293757.782227,74597.564453,20021.972656,26705.252930,6781.596768,1820.179332,28896.404297,7406.808594,4570.312500
8,4h,0.015324,9.382746,65.258297,2.194909,1.000000,1.000000,3,27,10,37.037037,537802.502173,135815.804346,17635.783691,53780.250217,13581.580435,1763.578369,57735.468750,14670.937500,9140.625000
8,8h,0.015141,9.563273,66.046501,2.214297,1.000000,1.000000,3,25,9,36.000000,937410.958105,235750.216211,13462.226562,104156.773123,26194.468468,1495.802951,115340.029395,29093.358789,3688.281250
8,12h,0.015236,9.512423,65.632751,2.225734,1.000000,1.000000,3,24,8,33.333333,1194006.770630,300067.541260,30344.680176,149250.846329,37508.442657,3793.085022,172965.044092,43550.038184,14473.544922
8,24h,0.015101,9.624457,66.219234,2.175504,1.000000,1.000000,3,25,7,28.000000,2420234.651074,607018.402148,22130.468750,345747.807296,86716.914593,3161.495536,345852.294287,86923.138574,11065.234375
9,15m,0.013861,10.298401,72.147241,5.407462,1.000000,1.000000,3,30,10,33.333333,36474.855322,10082.010645,2607.685547,3647.485532,1008.201064,260.768555,3665.053711,1030.107422,587.246094
9,30m,0.014682,9.701035,68.110872,5.399947,1.000000,1.000000,3,30,11,36.666667,79853.344482,21166.188965,5734.863281,7259.394953,1924.198997,521.351207,7270.107422,1940.214844,1175.537109
9,1h,0.015161,9.357598,65.956674,5.350501,1.000000,1.000000,3,30,10,33.333333,144603.999756,37326.999512,10437.011719,14460.399976,3732.699951,1043.701172,14480.214844,3760.429687,2351.074219
9,2h,0.015334,9.295241,65.212849,5.353996,1.000000,1.000000,3,30,10,33.333333,288811.000488,73688.500977,19555.664062,28881.100049,7368.850098,1955.566406,28900.429688,7400.859375,4702.148438
9,4h,0.015249,9.436707,65.576635,5.370923,1.000000,1.000000,3,30,10,33.333333,577082.000977,146297.001953,39111.328125,57708.200098,14629.700195,3911.132812,57740.961914,14681.923828,9404.296875
9,8h,0.015057,9.627422,66.413324,5.478375,1.000000,1.000000,3,27,12,44.444444,1384625.901855,350146.303711,115839.843750,115385.491821,29178.858643,9653.320312,115451.923828,29303.847656,18808.593750
9,12h,0.015125,9.605032,66.114953,5.495378,1.000000,1.000000,3,29,9,31.034483,1557319.836914,393095.673828,104941.406250,173035.537435,43677.297092,11660.156250,173162.885742,43925.771484,28212.890625
9,24h,0.015267,9.502881,65.499218,5.257741,1.000000,1.000000,3,27,8,29.629630,2535555.400781,638845.201562,126197.226562,316944.425098,79855.650195,15774.653320,346295.771484,87791.542969,56425.781250
10,15m,0.014169,10.074800,70.577770,2.575058,1.000000,1.000000,3,30,10,33.333333,36402.424072,9929.448145,1529.077148,3640.242407,992.944814,152.907715,3665.053711,1030.107422,422.973633
10,30m,0.014849,9.595369,67.345152,2.577477,1.000000,1.000000,3,30,12,40.000000,86971.082520,22858.365039,4750.048828,7247.590210,1904.863753,395.837402,7270.107422,1940.214844,845.947266
10,1h,0.015275,9.286169,65.464556,2.560155,1.000000,1.000000,3,30,11,36.666667,158973.479370,40814.858740,6637.792969,14452.134488,3710.441704,603.435724,14480.214844,3760.429687,1691.894531
10,2h,0.015397,9.258322,64.947176,2.539871,1.000000,1.000000,3,30,7,23.333333,201899.647705,51109.895410,4425.195312,28842.806815,7301.413630,632.170759,28900.429688,7400.859375,3383.789062
10,4h,0.015346,9.382891,65.163961,2.552135,1.000000,1.000000,3,30,9,30.000000,518990.635620,130863.171240,13017.187500,57665.626180,14540.352360,1446.354167,57740.859375,14681.718750,6767.578125
10,8h,0.015191,9.541246,65.830269,2.577112,1.000000,1.000000,3,28,11,39.285714,1203069.477100,302931.554199,45435.517578,109369.952464,27539.232200,4130.501598,115421.718750,29243.437500,13535.156250
10,12h,0.015207,9.544768,65.758792,2.570037,1.000000,1.000000,3,29,8,27.586207,1364207.132593,342981.565186,44593.015137,170525.891574,42872.695648,5574.126892,173102.578125,43805.156250,20302.734375
10,24h,0.015322,9.472222,65.266659,2.486225,1.000000,1.000000,3,26,7,26.923077,2420198.763428,606947.326855,24999.218750,345742.680490,86706.760979,3571.316964,345834.350464,86887.600928,12499.609375
11,15m,0.013992,10.202738,71.467506,6.656897,1.000000,1.000000,3,30,8,26.666667,29068.207813,7851.215625,1109.277344,3633.525977,981.401953,138.659668,3695.712891,1091.425781,470.214844
11,30m,0.014755,9.655448,67.772367,6.631805,1.000000,1.000000,3,30,11,36.666667,79816.712500,21130.025000,5039.843750,7256.064773,1920.911364,458.167614,7301.425781,2002.851562,940.429688
11,1h,0.015174,9.349391,65.901100,6.614602,1.000000,1.000000,3,30,9,30.000000,130074.660937,33415.121875,5715.234375,14452.740104,3712.791319,635.026042,14512.851562,3825.703125,1880.859375
11,2h,0.015312,9.303177,65.307776,6.613472,1.000000,1.000000,3,30,10,33.333333,288795.761230,73693.022461,17603.515625,28879.576123,7369.302246,1760.351562,28935.703125,7471.406250,3761.718750
11,4h,0.015223,9.443974,65.690822,6.619047,1.000000,1.000000,3,30,13,43.333333,750536.774414,190757.548828,52957.031250,57733.598032,14673.657602,4073.617788,57813.913086,14834.826172,7523.437500
11,8h,0.015031,9.647561,66.530301,6.711294,1.000000,1.000000,3,30,9,30.000000,1038505.541895,262755.983789,45727.734375,115389.504655,29195.109310,5080.859375,115602.240527,29610.781055,15046.875000
