data_transfer_rate_mbps,rate_dir,workflow_type,composition_number,event_throughput,wall_time_per_event,cpu_time_per_event,network_transfer_mb_per_event,cpu_utilization,memory_occupancy,total_groups,job_overhead_secs_mean,job_overhead_secs_std,job_overhead_cpu_time_mean,job_overhead_cpu_time_std,job_overhead_sample_count
10,10MBps,case3_hetero,5,0.005302,7.687416,188.619628,4.655991,0.566964,0.575949,2,2959.279058,1685.263658,112875.677308,155223.511433,834
10,10MBps,case3_hetero,6,0.002321,7.315262,430.922733,0.897953,0.758814,0.768910,3,711.935411,1175.372760,26561.109992,3233.247259,836
10,10MBps,case3_hetero,7,0.004709,7.428714,212.355259,2.091793,0.858948,0.877561,3,1377.418011,627.456562,53386.698378,59356.957714,836
10,10MBps,case3_hetero,8,0.006171,7.837051,162.042760,6.239967,0.937500,0.943490,3,3890.886052,3768.375203,116946.439002,156107.492554,832
10,10MBps,case3_hetero,9,0.005394,7.691355,185.401577,4.720357,0.717720,0.723329,3,2969.984178,1718.327314,111165.206643,155509.329507,837
10,10MBps,case3_hetero,10,0.006098,7.721286,163.982406,5.038738,0.773810,0.765476,3,3150.989277,2031.277472,108794.501944,171882.361493,836
10,10MBps,case3_hetero,11,0.005257,7.457178,190.236614,2.412065,0.881173,0.889815,3,1545.342288,967.953383,49856.057242,59640.283680,835
10,10MBps,case3_hetero,12,0.006097,7.736999,164.025424,5.107699,0.830357,0.830357,4,3178.068390,2061.023380,108558.871275,171616.382987,839
10,10MBps,case3_hetero,13,0.005256,7.463202,190.260302,2.476702,0.910880,0.923611,4,1575.145121,1085.877430,49818.915274,59536.270820,838
10,10MBps,case3_hetero,14,0.006296,7.840647,158.826230,6.304137,0.957933,0.962139,4,3902.915834,3777.131189,115368.233438,156472.060650,834
10,10MBps,case3_hetero,15,0.007308,7.871531,136.831791,6.618559,1.000000,0.993750,4,4077.869751,3886.711376,112275.684805,172741.345290,835
10,10MBps,case3_hetero,16,0.007307,7.877417,136.855131,6.682615,1.000000,1.000000,5,4107.889693,3895.505367,112280.974852,172607.038667,836
100,100MBps,case1_real,1,0.017605,7.248383,56.803259,0.449219,0.762681,0.606884,1,321.415361,32.480450,2571.322892,259.843600,833
100,100MBps,case1_real,2,0.017697,7.238927,56.507984,0.518180,0.882299,0.803832,2,264.908286,43.252004,2097.764413,230.595574,835
100,100MBps,case1_real,3,0.022756,7.238226,43.943616,2.028049,0.971774,0.945565,2,261.253777,131.292647,1365.764358,262.504752,834
100,100MBps,case1_real,4,0.018177,7.231796,55.015609,0.833316,0.677404,0.806731,2,223.410936,94.458145,1649.608378,245.112810,834
100,100MBps,case1_real,5,0.020552,7.255937,48.656443,4.655991,0.900128,0.728426,2,417.071791,194.691498,2516.054242,341.106913,834
100,100MBps,case1_real,6,0.018420,7.231889,54.288692,0.897953,0.930769,0.871154,3,223.439953,95.245406,1588.023420,213.436274,836
100,100MBps,case1_real,7,0.022765,7.234241,43.928036,2.091793,0.980874,0.965847,3,237.344672,108.273149,1269.360596,206.621218,836
100,100MBps,case1_real,8,0.022702,7.256657,44.049287,6.239967,0.970833,0.966667,3,472.554951,394.134765,2211.740088,1316.692416,832
100,100MBps,case1_real,9,0.020556,7.253995,48.648139,4.720357,0.932671,0.822369,3,402.256482,173.937742,2453.754416,313.870346,837
100,100MBps,case1_real,10,0.020554,7.254702,48.651508,5.038738,0.816752,0.852284,3,408.694621,184.690732,2480.517414,339.538615,836
100,100MBps,case1_real,11,0.022767,7.233169,43.923788,2.412065,0.854167,0.983025,3,231.265965,118.325025,1245.428981,307.306709,835
100,100MBps,case1_real,12,0.020851,7.263563,47.959599,5.107699,0.971939,0.889213,4,408.139378,184.967176,2416.886988,450.550924,839
100,100MBps,case1_real,13,0.023150,7.233274,43.196895,2.476702,1.000000,0.987269,4,231.071791,119.209007,1183.612638,180.419155,838
100,100MBps,case1_real,14,0.022706,7.254412,44.040427,6.304137,0.977564,0.977564,4,458.147699,385.872425,2153.340045,1292.141601,834
100,100MBps,case1_real,15,0.022704,7.255526,44.044632,6.618559,0.890625,1.000000,4,463.888772,389.979282,2175.920206,1306.467429,835
100,100MBps,case1_real,16,0.023081,7.255596,43.326356,6.682615,1.000000,1.000000,5,463.755476,390.090379,2115.688358,1324.636066,836
100,100MBps,case2_homo,1,0.017605,7.248383,56.803259,0.449219,1.000000,1.000000,1,321.415361,32.480450,2571.322892,259.843600,833
100,100MBps,case2_homo,2,0.017628,7.238927,56.728855,0.518180,1.000000,1.000000,2,264.908286,43.252004,2119.266285,346.016029,835
100,100MBps,case2_homo,3,0.017629,7.238226,56.723615,2.028049,1.000000,1.000000,2,261.253777,131.292647,2090.030215,1050.341178,834
100,100MBps,case2_homo,4,0.017645,7.231796,56.673134,0.833316,1.000000,1.000000,2,223.410936,94.458145,1787.287485,755.665158,834
100,100MBps,case2_homo,5,0.017576,7.255937,56.896986,4.655991,1.000000,1.000000,2,417.071791,194.691498,3336.574326,1557.531988,834
100,100MBps,case2_homo,6,0.017645,7.231889,56.673887,0.897953,1.000000,1.000000,3,223.439953,95.245406,1787.519621,761.963248,836
100,100MBps,case2_homo,7,0.017639,7.234241,56.692454,2.091793,1.000000,1.000000,3,237.344672,108.273149,1898.757376,866.185192,836
100,100MBps,case2_homo,8,0.017564,7.256657,56.934956,6.239967,1.000000,1.000000,3,472.554951,394.134765,3780.439611,3153.078117,832
100,100MBps,case2_homo,9,0.017581,7.253995,56.880378,4.720357,1.000000,1.000000,3,402.256482,173.937742,3218.051858,1391.501934,837
100,100MBps,case2_homo,10,0.017579,7.254702,56.887115,5.038738,1.000000,1.000000,3,408.694621,184.690732,3269.556971,1477.525860,836
100,100MBps,case2_homo,11,0.017642,7.233169,56.683959,2.412065,1.000000,1.000000,3,231.265965,118.325025,1850.127722,946.600202,835
100,100MBps,case2_homo,12,0.017568,7.263563,56.922892,5.107699,1.000000,1.000000,4,408.139378,184.967176,3265.115022,1479.737406,839
100,100MBps,case2_homo,13,0.017641,7.233274,56.684808,2.476702,1.000000,1.000000,4,231.071791,119.209007,1848.574330,953.672057,838
100,100MBps,case2_homo,14,0.017569,7.254412,56.917236,6.304137,1.000000,1.000000,4,458.147699,385.872425,3665.181588,3086.979403,834
100,100MBps,case2_homo,15,0.017567,7.255526,56.925646,6.618559,1.000000,1.000000,4,463.888772,389.979282,3711.110172,3119.834253,835
100,100MBps,case2_homo,16,0.017567,7.255596,56.926210,6.682615,1.000000,1.000000,5,463.755476,390.090379,3710.043812,3120.723033,836
100,100MBps,case3_hetero,1,0.002201,7.248383,454.426074,0.449219,0.264040,0.297781,1,321.415361,32.480450,20570.583133,2078.748804,833
100,100MBps,case3_hetero,2,0.002220,7.238927,450.517774,0.518180,0.632755,0.649521,2,264.908286,43.252004,16631.602208,2265.908720,835
100,100MBps,case3_hetero,3,0.004799,7.238226,208.375429,2.028049,0.784274,0.812248,2,261.253777,131.292647,11668.441022,12876.148005,834
100,100MBps,case3_hetero,4,0.002334,7.231796,428.522198,0.833316,0.638221,0.640865,2,223.410936,94.458145,12233.113279,2775.601864,834
100,100MBps,case3_hetero,5,0.005805,7.255937,172.264585,4.655991,0.566964,0.575949,2,417.071791,194.691498,14823.855501,19784.662384,834
100,100MBps,case3_hetero,6,0.002334,7.231889,428.522575,0.897953,0.758814,0.768910,3,223.439953,95.245406,12206.101430,2827.165226,836
100,100MBps,case3_hetero,7,0.004876,7.234241,205.076436,2.091793,0.858948,0.877561,3,237.344672,108.273149,9853.063378,10995.940024,836
100,100MBps,case3_hetero,8,0.006895,7.256657,145.032373,6.239967,0.937500,0.943490,3,472.554951,394.134765,14720.558564,20146.878063,832
100,100MBps,case3_hetero,9,0.005915,7.253995,169.072229,4.720357,0.717720,0.723329,3,402.256482,173.937742,13618.327116,18246.821576,837
100,100MBps,case3_hetero,10,0.006764,7.254702,147.846968,5.038738,0.773810,0.765476,3,408.694621,184.690732,12290.684644,18284.539240,836
100,100MBps,case3_hetero,11,0.005459,7.233169,183.195309,2.412065,0.881173,0.889815,3,231.265965,118.325025,7692.557820,9249.610413,835
100,100MBps,case3_hetero,12,0.006763,7.263563,147.864856,5.107699,0.830357,0.830357,4,408.139378,184.967176,12250.361502,18264.264642,839
100,100MBps,case3_hetero,13,0.005459,7.233274,183.195734,2.476702,0.910880,0.923611,4,231.071791,119.209007,7667.553819,9242.665165,838
100,100MBps,case3_hetero,14,0.007050,7.254412,141.841622,6.304137,0.957933,0.962139,4,458.147699,385.872425,13542.042768,18627.235057,834
100,100MBps,case3_hetero,15,0.008326,7.255526,120.107842,6.618559,1.000000,0.993750,4,463.888772,389.979282,12132.278660,18644.940358,835
100,100MBps,case3_hetero,16,0.008326,7.255596,120.108124,6.682615,1.000000,1.000000,5,463.755476,390.090379,12119.452748,18637.571235,836
1000,1GBps,case1_real,1,0.017615,7.244168,56.770227,0.449219,0.762681,0.606884,1,296.631332,29.975698,2373.050657,239.805580,833
