composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.262984,56.940115,0.017562,0.449219,0.000000,0.449219,0.002000,2.000000
2,2,7.247727,56.619564,0.017662,0.449219,0.063477,0.512695,0.001996,1.996000
3,2,7.232314,55.092127,0.018151,0.449219,0.375977,0.825195,0.001948,1.948000
4,2,7.222948,48.574709,0.020587,2.539062,2.089844,4.628906,0.001732,1.835000
5,2,7.222851,44.123397,0.022664,1.230469,0.781250,2.011719,0.001572,1.298000
6,3,7.231481,54.387145,0.018387,0.449219,0.439453,0.888672,0.001926,1.952000
7,3,7.218515,48.556974,0.020594,2.539062,2.153320,4.692383,0.001732,1.823000
8,3,7.216137,44.096542,0.022678,1.230469,0.844727,2.075195,0.001576,1.294000
9,3,7.215426,48.544619,0.020600,2.539062,2.465820,5.004883,0.001736,1.783000
10,3,7.209929,44.071707,0.022690,1.230469,1.157227,2.387695,0.001576,1.246000
11,3,7.212229,44.080909,0.022686,3.320312,2.871094,6.191406,0.001576,1.267000
12,4,7.214592,47.839637,0.020903,2.539062,2.529297,5.068359,0.001714,1.787000
13,4,7.209095,43.366725,0.023059,1.230469,1.220703,2.451172,0.001554,1.250000
14,4,7.207915,44.063654,0.022694,3.320312,2.934570,6.254883,0.001580,1.263000
15,4,7.204707,44.050819,0.022701,3.320312,3.247070,6.567383,0.001580,1.215000
16,5,7.203873,43.345837,0.023070,3.320312,3.310547,6.630859,0.001558,1.219000
