Workflow_Type,Construction,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
case1_real,1,0.018116,6.900000,55.200000,0.449219,0.762681,0.606884,1
case1_real,16,0.023753,6.900000,42.100000,6.630859,1.000000,1.000000,5
case1_real,13,0.023753,6.900000,42.100000,2.451172,1.000000,0.987269,4
case2_homo,1,0.018116,6.900000,55.200000,0.449219,1.000000,1.000000,1
case2_homo,16,0.018116,6.900000,55.200000,6.630859,1.000000,1.000000,5
case2_homo,2,0.018116,6.900000,55.200000,0.512695,1.000000,1.000000,2
case3_hetero,1,0.002264,6.900000,441.600000,0.449219,0.264040,0.297781,1
case3_hetero,16,0.008576,6.900000,116.600000,6.630859,1.000000,1.000000,5
case3_hetero,15,0.008576,6.900000,116.600000,6.567383,1.000000,0.993750,4
