composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.035443,55.935568,0.017878,0.449219,0.000000,0.449219,0.001296,1.296000
2,2,7.025730,55.858333,0.017902,0.449219,0.063477,0.512695,0.001312,1.312000
3,2,7.016088,55.781654,0.017927,0.449219,0.375977,0.825195,0.001312,1.312000
4,2,7.013541,55.761238,0.017934,2.539062,2.112414,4.651477,0.001304,1.304000
5,2,7.011295,55.743465,0.017939,1.230469,0.786693,2.017162,0.001296,1.296000
6,3,7.015552,55.777361,0.017928,0.449219,0.439453,0.888672,0.001320,1.320000
7,3,7.010784,55.739424,0.017941,2.539062,2.176468,4.715531,0.001320,1.320000
8,3,7.006977,55.709168,0.017950,1.230469,0.850259,2.080728,0.001312,1.312000
9,3,7.008828,55.723973,0.017946,2.539062,2.494033,5.033096,0.001312,1.312000
10,3,7.003151,55.678794,0.017960,1.230469,1.163476,2.393945,0.001312,1.312000
11,3,7.008254,55.719220,0.017947,3.320312,2.893664,6.213977,0.001312,1.312000
12,4,7.008412,55.720640,0.017947,2.539062,2.557510,5.096572,0.001328,1.328000
13,4,7.002614,55.674502,0.017962,1.230469,1.226953,2.457421,0.001320,1.320000
14,4,7.005497,55.697406,0.017954,3.320312,2.957718,6.278031,0.001328,1.328000
15,4,7.003541,55.681954,0.017959,3.320312,3.275283,6.595596,0.001320,1.320000
16,5,7.003125,55.678622,0.017960,3.320312,3.338760,6.659072,0.001336,1.336000
