Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
1,0.000000,19231,0,19231,0.000000,0.015512,8.058352,64.466818,0.449219,0.762681,0.606884,1
1,1.000000,19423,192,19231,0.988519,0.015435,8.138807,64.788635,0.449219,0.762681,0.606884,1
1,5.000000,20183,952,19231,4.716841,0.015137,8.457272,66.062497,0.449219,0.762681,0.606884,1
1,10.000000,21341,2110,19231,9.887072,0.014705,8.942513,68.003461,0.449219,0.762681,0.606884,1
1,25.000000,25608,6377,19231,24.902374,0.013306,10.730529,75.155526,0.449219,0.762681,0.606884,1
2,0.000000,19223,0,19223,0.000000,0.016033,7.822827,62.373014,0.512695,0.882299,0.803832,2
2,1.000000,19417,192,19225,0.988824,0.015953,7.900968,62.684068,0.513152,0.882299,0.803832,2
2,5.000000,20175,949,19226,4.708798,0.015647,8.209143,63.911988,0.514595,0.882299,0.803832,2
2,10.000000,21331,2104,19227,9.863579,0.015201,8.679083,65.785965,0.516352,0.882299,0.803832,2
2,25.000000,25585,6357,19228,24.846590,0.013758,10.409590,72.687593,0.522523,0.882299,0.803832,2
3,0.000000,19192,0,19192,0.000000,0.021939,7.460777,45.581767,2.011719,0.971774,0.945565,2
3,1.000000,19383,190,19193,0.980240,0.021830,7.534602,45.809167,2.015480,0.971774,0.945565,2
3,5.000000,20144,950,19194,4.716044,0.021413,7.830714,46.700751,2.031702,0.971774,0.945565,2
3,10.000000,21294,2100,19194,9.866629,0.020804,8.277981,48.068652,2.055029,0.971774,0.945565,2
3,25.000000,25504,6307,19197,24.745138,0.018848,9.913818,53.055511,2.141224,0.971774,0.945565,2
4,0.000000,19228,0,19228,0.000000,0.016957,7.587116,58.972207,0.825195,0.677404,0.806731,2
4,1.000000,19413,185,19228,0.952970,0.016876,7.660116,59.255669,0.827056,0.677404,0.806731,2
4,5.000000,20175,945,19230,4.684015,0.016550,7.960091,60.424526,0.833824,0.677404,0.806731,2
4,10.000000,21331,2102,19229,9.854203,0.016076,8.416673,62.204288,0.843975,0.677404,0.806731,2
4,25.000000,25585,6354,19231,24.842681,0.014549,10.095079,68.733801,0.884104,0.677404,0.806731,2
5,0.000000,19180,0,19180,0.000000,0.019652,7.473281,50.884622,4.628906,0.900128,0.728426,2
5,1.000000,19372,191,19181,0.985959,0.019555,7.547750,51.137635,4.639439,0.900128,0.728426,2
5,5.000000,20129,948,19181,4.709623,0.019184,7.843002,52.127969,4.684204,0.900128,0.728426,2
5,10.000000,21257,2075,19182,9.761490,0.018647,8.282087,53.627144,4.744579,0.900128,0.728426,2
5,25.000000,25499,6315,19184,24.769599,0.016877,9.934360,59.253712,4.975238,0.900128,0.728426,2
6,0.000000,19228,0,19228,0.000000,0.017185,7.574407,58.189229,0.888672,0.930769,0.871154,3
6,1.000000,19418,186,19232,0.957874,0.017102,7.647741,58.471223,0.890605,0.930769,0.871154,3
6,5.000000,20180,948,19232,4.697721,0.016772,7.947620,59.623530,0.899097,0.930769,0.871154,3
6,10.000000,21336,2103,19233,9.861267,0.016291,8.403251,61.382992,0.910910,0.930769,0.871154,3
6,25.000000,25594,6356,19238,24.841760,0.014742,10.078873,67.831763,0.957075,0.930769,0.871154,3
7,0.000000,19185,0,19185,0.000000,0.022145,7.354372,45.156146,2.075195,0.980874,0.965847,3
7,1.000000,19377,189,19188,0.975383,0.022036,7.426801,45.380779,2.079340,0.980874,0.965847,3
7,5.000000,20130,943,19187,4.684550,0.021618,7.716186,46.257996,2.096523,0.980874,0.965847,3
7,10.000000,21289,2100,19189,9.864249,0.021000,8.159451,47.618830,2.121737,0.980874,0.965847,3
7,25.000000,25498,6303,19195,24.731351,0.019025,9.771429,52.561814,2.214138,0.980874,0.965847,3
8,0.000000,19184,0,19184,0.000000,0.022202,7.325466,45.040522,6.191406,0.970833,0.966667,3
8,1.000000,19376,190,19186,0.980595,0.022092,7.398088,45.265517,6.205450,0.970833,0.966667,3
8,5.000000,20134,948,19186,4.708453,0.021671,7.688003,46.145356,6.265048,0.970833,0.966667,3
8,10.000000,21271,2081,19190,9.787974,0.021060,8.120775,47.483738,6.348121,0.970833,0.966667,3
8,25.000000,25498,6306,19192,24.750961,0.019072,9.734495,52.432272,6.665905,0.970833,0.966667,3
9,0.000000,19181,0,19181,0.000000,0.019757,7.405600,50.613897,4.692383,0.932671,0.822369,3
9,1.000000,19374,190,19184,0.985857,0.019660,7.479236,50.865244,4.703210,0.932671,0.822369,3
9,5.000000,20132,948,19184,4.708921,0.019286,7.771734,51.850094,4.749378,0.932671,0.822369,3
9,10.000000,21255,2068,19187,9.729475,0.018748,8.204274,53.337744,4.809561,0.932671,0.822369,3
9,25.000000,25505,6313,19192,24.763772,0.016966,9.843836,58.939684,5.048458,0.932671,0.822369,3
10,0.000000,19181,0,19181,0.000000,0.019834,7.357053,50.419709,5.004883,0.816752,0.852284,3
10,1.000000,19370,187,19183,0.965410,0.019737,7.428833,50.665803,5.016788,0.816752,0.852284,3
10,5.000000,20125,940,19185,4.670807,0.019364,7.717624,51.643289,5.068705,0.816752,0.852284,3
10,10.000000,21239,2053,19186,9.666180,0.018830,8.144468,53.107942,5.140511,0.816752,0.852284,3
10,25.000000,25492,6303,19189,24.733250,0.017035,9.774491,58.701517,5.410952,0.816752,0.852284,3
11,0.000000,19191,0,19191,0.000000,0.022337,7.257609,44.769094,2.387695,0.854167,0.983025,3
11,1.000000,19378,185,19193,0.954691,0.022228,7.327560,44.988747,2.393042,0.854167,0.983025,3
11,5.000000,20136,943,19193,4.683155,0.021805,7.614464,45.861075,2.417124,0.854167,0.983025,3
11,10.000000,21288,2092,19196,9.831830,0.021184,8.048990,47.204429,2.450580,0.854167,0.983025,3
11,25.000000,25516,6315,19201,24.768773,0.019184,9.647203,52.125767,2.578168,0.854167,0.983025,3
12,0.000000,19181,0,19181,0.000000,0.020146,7.344344,49.636731,5.068359,0.971939,0.889213,4
