Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
1,1h,0.016710,7.480492,59.843938,0.449219,0.762681,0.606884,1,1920,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,6h,0.017856,7.000492,56.003937,0.449219,0.762681,0.606884,1,320,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,12h,0.017979,6.952492,55.619937,0.449219,0.762681,0.606884,1,160,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,18h,0.018020,6.936592,55.492737,0.449219,0.762681,0.606884,1,107,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,24h,0.018041,6.928492,55.427937,0.449219,0.762681,0.606884,1,80,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1h,0.017036,7.363167,58.699046,0.512695,0.882299,0.803832,2,1919,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,6h,0.017970,6.981627,55.649366,0.512695,0.882299,0.803832,2,321,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,12h,0.018069,6.943407,55.343846,0.512695,0.882299,0.803832,2,161,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,18h,0.018102,6.930627,55.241846,0.512695,0.882299,0.803832,2,107,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,24h,0.018119,6.924387,55.191926,0.512695,0.882299,0.803832,2,81,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1h,0.017760,7.247312,56.306767,0.825195,0.677404,0.806731,2,1921,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,6h,0.018487,6.964712,54.090607,0.825195,0.677404,0.806731,2,320,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,12h,0.018563,6.936632,53.870287,0.825195,0.677404,0.806731,2,161,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,18h,0.018588,6.927272,53.796847,0.825195,0.677404,0.806731,2,108,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,24h,0.018601,6.922532,53.759887,0.825195,0.677404,0.806731,2,81,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,1h,0.020334,7.209929,49.177550,4.628906,0.900128,0.728426,2,1919,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,6h,0.020941,6.990269,47.753630,4.628906,0.900128,0.728426,2,320,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
