Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
5,24h,0.019381,9.483889,51.596444,2.108689,0.971774,0.945565,2,83,22,26.506024,5964369.200000,1806317.600000,75196.875000,271107.690909,82105.345455,3418.039773,345587.200000,86397.000000,10886.718750
6,1h,0.016394,9.020903,60.998562,0.939678,0.930769,0.871154,3,1925,448,23.272727,4947093.850000,1610446.750000,41306.042480,11042.620201,3594.747210,92.200988,11391.800000,3600.000000,2285.156250
6,6h,0.016097,9.347320,62.122182,0.960702,0.930769,0.871154,3,325,90,27.692308,5850332.700000,1900353.750000,47577.575684,65003.696667,21115.041667,528.639730,68453.800000,21599.900000,11601.508789
6,12h,0.015778,9.568418,63.377515,0.932998,0.930769,0.871154,3,165,44,26.666667,5722966.800000,1847636.500000,44326.557617,130067.427273,41991.738636,1007.421764,136907.600000,43199.800000,23203.017578
6,18h,0.015963,9.426514,62.644937,0.960461,0.930769,0.871154,3,112,34,30.357143,6315601.150000,2072924.750000,71789.357910,185752.975000,60968.375000,2111.451703,205361.400000,64799.700000,34804.526367
6,24h,0.015871,9.578340,63.008568,0.930081,0.930769,0.871154,3,86,24,27.906977,6384149.550000,2073553.950000,46406.223145,266006.231250,86398.081250,1933.592631,273815.200000,86399.950000,46406.223145
7,1h,0.018369,9.030996,54.439976,5.017727,0.932671,0.822369,3,1925,459,23.844156,5058080.700000,1645317.200000,245182.426758,11019.783660,3584.569063,534.166507,12771.600000,3600.000000,2285.156250
7,6h,0.018015,9.348339,55.509353,5.031680,0.932671,0.822369,3,327,89,27.217125,5785792.400000,1882577.800000,281690.791016,65008.903371,21152.559551,3165.065068,76699.200000,21599.200000,11573.554688
7,12h,0.017662,9.578300,56.617250,4.974885,0.932671,0.822369,3,166,42,25.301205,5695180.300000,1814332.300000,231481.542969,135599.530952,43198.388095,5511.465309,153398.400000,43198.400000,23148.154297
7,18h,0.017706,9.530261,56.477973,5.025437,0.932671,0.822369,3,113,31,27.433628,6187824.600000,1982283.000000,263608.710938,199607.245161,63944.612903,8503.506804,230097.600000,64798.500000,34722.753906
7,24h,0.017582,9.664712,56.876471,5.062762,0.932671,0.822369,3,86,26,30.232558,6930168.150000,2246329.750000,324081.474609,266544.928846,86397.298077,12464.672100,306796.800000,86398.650000,46297.353516
8,1h,0.020219,9.031044,49.458755,2.192163,0.980874,0.965847,3,1923,452,23.504940,5040449.000000,1623617.000000,92049.316406,11151.435841,3592.073009,203.648930,14394.400000,3600.000000,2285.156250
8,6h,0.019747,9.394434,50.639966,2.205421,0.980874,0.965847,3,327,90,27.522936,5978885.700000,1911281.150000,102911.188965,66432.063333,21236.457222,1143.457655,86396.800000,21599.200000,2766.015625
8,12h,0.019526,9.551214,51.212713,2.229208,0.980874,0.965847,3,166,43,25.903614,5688500.400000,1804307.100000,106404.790039,132290.706977,41960.630233,2474.530001,172793.600000,43198.400000,17081.352539
8,18h,0.019722,9.427101,50.705298,2.160422,0.980874,0.965847,3,112,31,27.678571,6527554.250000,2008721.750000,91287.109375,210566.266129,64797.475806,2944.745464,259190.400000,64797.600000,8298.828125
8,24h,0.019242,9.583942,51.969344,2.175504,0.980874,0.965847,3,87,22,25.287356,5989008.550000,1819973.050000,78178.515625,272227.661364,82726.047727,3553.568892,345587.200000,86397.350000,11065.234375
9,1h,0.018389,9.023388,54.381594,5.377616,0.816752,0.852284,3,1925,465,24.155844,5081055.900000,1666480.200000,290285.834961,10927.001935,3583.828387,624.270613,12771.600000,3600.000000,2351.074219
9,6h,0.017999,9.351311,55.558493,5.355364,0.816752,0.852284,3,325,84,25.846154,5664200.400000,1798039.200000,276704.707031,67430.957143,21405.228571,3294.103655,76699.200000,21600.000000,14106.445312
9,12h,0.017896,9.511766,55.879405,5.495378,0.816752,0.852284,3,164,48,29.268293,6187716.000000,2050182.400000,424280.976562,128910.750000,42712.133333,8839.187012,153398.400000,43200.000000,28212.890625
9,18h,0.017892,9.365959,55.890179,5.255091,0.816752,0.852284,3,111,31,27.927928,6107487.000000,1947578.400000,277844.208984,197015.709677,62825.109677,8962.716419,230097.600000,64800.000000,42319.335938
9,24h,0.017841,9.425088,56.051635,5.257741,0.816752,0.852284,3,85,25,29.411765,6707421.600000,2093104.000000,289706.601562,268296.864000,83724.160000,11588.264063,306796.800000,86400.000000,56425.781250
10,1h,0.020205,9.036964,49.492186,2.560155,0.854167,0.983025,3,1921,459,23.893805,5082159.800000,1651118.900000,137473.925781,11072.243573,3597.208932,299.507464,14394.400000,3600.000000,1691.894531
10,6h,0.019716,9.391532,50.720555,2.607975,0.854167,0.983025,3,326,93,28.527607,6011641.900000,1951561.100000,171078.129883,64641.310753,20984.527957,1839.549784,86396.800000,21600.000000,10151.367188
10,12h,0.019562,9.548343,51.120574,2.566674,0.854167,0.983025,3,167,43,25.748503,5689504.100000,1784386.100000,116482.280273,132314.048837,41497.351163,2708.890239,172793.600000,43200.000000,20302.734375
10,18h,0.019608,9.444307,50.998899,2.599625,0.854167,0.983025,3,112,34,30.357143,6644918.400000,2090716.800000,162725.156250,195438.776471,61491.670588,4786.034007,259190.400000,64800.000000,30454.101562
10,24h,0.019421,9.517484,51.490840,2.544281,0.854167,0.983025,3,84,22,26.190476,6023913.650000,1839911.300000,119086.955566,273814.256818,83632.331818,5413.043435,345587.200000,86397.300000,40293.596191
11,1h,0.020228,9.030663,49.436399,6.614602,0.970833,0.966667,3,1923,454,23.608944,5055456.400000,1633987.200000,328119.921875,11135.366520,3599.090749,722.731105,14394.400000,3600.000000,1880.859375
11,6h,0.019759,9.379828,50.610748,6.642871,0.970833,0.966667,3,326,94,28.834356,6125802.800000,1983040.800000,388164.765625,65168.114894,21096.178723,4129.412400,86396.800000,21600.000000,11285.156250
11,12h,0.019714,9.480336,50.725370,6.697536,0.970833,0.966667,3,165,48,29.090909,6094332.000000,2018751.200000,431959.843750,126965.250000,42057.316667,8999.163411,172793.600000,43200.000000,22570.312500
11,18h,0.019502,9.517962,51.275803,6.658613,0.970833,0.966667,3,112,34,30.357143,6814037.350000,2164373.600000,410340.009766,200412.863235,63658.047059,12068.823817,259190.400000,64800.000000,33855.468750
11,24h,0.019497,9.416821,51.289513,6.575181,0.970833,0.966667,3,86,24,27.906977,6149939.850000,1912039.800000,338634.208984,256247.493750,79668.325000,14109.758708,345587.200000,86400.000000,45140.625000
12,1h,0.018653,9.034690,53.611776,5.462162,0.971939,0.889213,4,1929,469,24.313116,5110388.800000,1681768.250000,308912.463379,10896.351386,3585.859808,658.661969,12771.600000,3600.000000,2351.074219
12,6h,0.018270,9.320830,54.733599,5.404484,0.971939,0.889213,4,328,86,26.219512,5635514.300000,1794447.800000,275381.503906,65529.236047,20865.672093,3202.110511,76699.200000,21600.000000,14106.445312
12,12h,0.018135,9.514850,55.142373,5.567305,0.971939,0.889213,4,167,49,29.341317,6207384.200000,2053266.400000,432730.917969,126681.310204,41903.395918,8831.243224,153398.400000,43200.000000,28212.890625
12,18h,0.018096,9.442616,55.260179,5.379376,0.971939,0.889213,4,117,33,28.205128,6267455.500000,2014978.400000,333681.279297,189922.893939,61059.951515,10111.553918,230097.600000,64800.000000,42319.335938
12,24h,0.017911,9.513540,55.833079,5.416271,0.971939,0.889213,4,89,27,30.337079,6868125.700000,2181556.100000,347912.045898,254375.025926,80798.374074,12885.631330,306796.800000,86400.000000,56425.781250
13,1h,0.020563,9.028929,48.632134,2.632989,1.000000,0.987269,4,1926,463,24.039460,5081847.950000,1657484.350000,151677.766113,10975.913499,3579.879806,327.597767,14394.400000,3600.000000,2285.156250
13,6h,0.020064,9.393816,49.840347,2.671988,1.000000,0.987269,4,330,93,28.181818,6037438.500000,1966349.400000,177549.028320,64918.693548,21143.541935,1909.129337,86396.800000,21599.900000,11601.508789
13,12h,0.019867,9.549883,50.334131,2.650937,1.000000,0.987269,4,169,44,26.035503,5728643.450000,1829123.750000,143518.190918,130196.442045,41570.994318,3261.777066,172793.600000,43199.800000,23203.017578
13,18h,0.019884,9.526103,50.290892,2.674632,1.000000,0.987269,4,115,34,29.565217,6698130.900000,2106513.300000,159768.588867,197003.850000,61956.273529,4699.076143,259190.400000,64800.000000,34804.526367
13,24h,0.019631,9.592499,50.940870,2.591505,1.000000,0.987269,4,90,23,25.555556,6076168.500000,1828529.050000,90334.733887,264181.239130,79501.263043,3927.597126,345587.200000,86397.300000,12499.609375
14,1h,0.020229,9.029441,49.433955,6.690122,0.977564,0.977564,4,1926,455,23.624091,5053474.500000,1632774.700000,334585.659180,11106.537363,3588.515824,735.353097,14394.400000,3600.000000,2285.156250
14,6h,0.019840,9.319658,50.404015,6.693107,0.977564,0.977564,4,330,92,27.878788,5967089.200000,1901284.400000,358846.562500,64859.665217,20666.134783,3900.506114,86396.800000,21599.600000,11573.554688
14,12h,0.019492,9.639714,51.303317,6.825332,0.977564,0.977564,4,170,47,27.647059,5927500.400000,1930311.500000,397383.149414,126117.029787,41070.457447,8454.960626,172793.600000,43199.200000,23148.154297
14,18h,0.019525,9.488383,51.216647,6.693880,0.977564,0.977564,4,115,34,29.565217,6780084.700000,2134797.100000,381262.719727,199414.255882,62788.150000,11213.609404,259190.400000,64799.900000,34722.753906
14,24h,0.019425,9.511814,51.479501,6.653289,0.977564,0.977564,4,90,23,25.555556,6041061.650000,1834236.800000,275129.787598,262654.854348,79749.426087,11962.164678,345587.200000,86399.500000,46297.353516
15,1h,0.020241,9.022037,49.404748,7.041256,0.890625,1.000000,4,1926,458,23.779855,5092738.600000,1646958.300000,384394.238281,11119.516594,3595.978821,839.288730,14394.400000,3600.000000,2351.074219
15,6h,0.019728,9.397394,50.689081,7.086674,0.890625,1.000000,4,329,89,27.051672,5928897.200000,1887984.400000,384216.386719,66616.822472,21213.307865,4317.038053,86396.800000,21600.000000,14106.445312
15,12h,0.019589,9.555237,51.047965,7.223488,0.890625,1.000000,4,167,46,27.544910,6001627.200000,1920853.600000,469018.750000,130470.156522,41757.686957,10196.059783,172793.600000,43200.000000,28212.890625
15,18h,0.019509,9.509763,51.259406,7.070971,0.890625,1.000000,4,114,33,28.947368,6702358.750000,2091375.200000,427111.335449,203101.780303,63375.006061,12942.767741,259190.400000,64800.000000,42319.335938
15,24h,0.019743,9.270060,50.650405,6.905867,0.890625,1.000000,4,87,24,27.586207,6046868.800000,1851679.200000,356246.533203,251952.866667,77153.300000,14843.605550,345587.200000,86400.000000,56425.781250
16,1h,0.020552,9.026416,48.657268,7.129641,1.000000,1.000000,5,1930,461,23.886010,5114649.900000,1651879.250000,394882.092285,11094.685249,3583.252169,856.577207,14394.400000,3600.000000,2351.074219
16,6h,0.020045,9.410301,49.888435,7.175814,1.000000,1.000000,5,335,90,26.865672,5952487.600000,1905515.400000,402692.724609,66138.751111,21172.393333,4474.363607,86396.800000,21600.000000,14106.445312
16,12h,0.019906,9.574134,50.237259,7.282013,1.000000,1.000000,5,172,50,29.069767,6054274.400000,1995102.000000,506357.285156,121085.488000,39902.040000,10127.145703,172793.600000,43200.000000,28212.890625
16,18h,0.019861,9.472916,50.350144,7.133803,1.000000,1.000000,5,119,38,31.932773,6821181.500000,2182422.550000,478849.978027,179504.776316,57432.172368,12601.315211,259190.400000,64800.000000,42319.335938
16,24h,0.019862,9.407963,50.347495,7.066976,1.000000,1.000000,5,92,25,27.173913,6001171.550000,1903181.950000,379690.393066,240046.862000,76127.278000,15187.615723,345587.200000,86400.000000,56425.781250
