Workflow_Type,Construction,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
case1_real,1,0.017979,6.952492,55.619937,0.449219,0.762681,0.606884,1
case1_real,16,0.023559,6.976089,42.446855,6.630859,1.000000,1.000000,5
case1_real,13,0.023644,6.938012,42.294548,2.451172,1.000000,0.987269,4
case2_homo,1,0.017979,6.952492,55.619937,0.449219,1.000000,1.000000,1
case2_homo,16,0.017918,6.976089,55.808709,6.630859,1.000000,1.000000,5
case2_homo,3,0.018020,6.936632,55.493056,0.825195,1.000000,1.000000,2
case3_hetero,1,0.002247,6.952492,444.959500,0.449219,0.264040,0.297781,1
case3_hetero,16,0.008432,6.976089,118.602453,6.630859,1.000000,1.000000,5
case3_hetero,15,0.008432,6.975994,118.602074,6.567383,1.000000,0.993750,4
