composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.270209,462.654530,0.002161,0.449219,0.000000,0.449219,0.062080,62.080000
2,2,7.210845,455.846149,0.002194,0.449219,0.063477,0.512695,0.061664,61.696000
3,2,7.150653,430.639737,0.002322,0.449219,0.375977,0.825195,0.058784,59.120000
4,2,7.115754,209.383874,0.004776,1.230469,0.783064,2.013533,0.028313,28.850000
5,2,7.113148,171.626207,0.005827,2.539062,2.093605,4.632668,0.023512,29.040000
6,3,7.147420,430.626802,0.002322,0.449219,0.439453,0.888672,0.058792,59.124000
7,3,7.088940,204.642388,0.004887,1.230469,0.846570,2.077039,0.027897,28.466000
8,3,7.095994,167.497436,0.005970,2.539062,2.157178,4.696241,0.023100,28.664000
9,3,7.063832,181.655427,0.005505,1.230469,1.159309,2.389778,0.024957,25.836000
10,3,7.082828,145.483246,0.006874,2.539062,2.475225,5.014287,0.020148,26.010000
11,3,7.071718,144.236198,0.006933,3.320312,2.877412,6.197725,0.019697,21.474000
12,4,7.060478,181.642012,0.005505,1.230469,1.222786,2.453255,0.024961,25.830000
13,4,7.079475,145.469832,0.006874,2.539062,2.538701,5.077764,0.020152,26.004000
14,4,7.054563,140.111026,0.007137,3.320312,2.940985,6.261297,0.019281,21.090000
15,4,7.041515,117.901195,0.008482,3.320312,3.254329,6.574642,0.016337,18.450000
16,5,7.038282,117.888260,0.008483,3.320312,3.317806,6.638118,0.016345,18.454000
