Workflow_Type,Construction,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
seq_real,1,0.015597,9.076312,64.114976,0.449219,0.762681,0.606884,1
seq_real,16,0.020397,9.039455,49.026050,7.052127,1.000000,1.000000,5
seq_real,13,0.020439,9.020770,48.926708,2.602732,1.000000,0.987269,4
seq_homo,1,0.015597,9.076312,64.114976,0.449219,1.000000,1.000000,1
seq_homo,16,0.015610,9.039455,64.061933,7.052127,1.000000,1.000000,5
seq_homo,6,0.015708,8.979224,63.663277,0.931797,1.000000,1.000000,3
seq_hetero,1,0.001950,9.076312,512.919804,0.449219,0.264040,0.297781,1
seq_hetero,16,0.007437,9.039455,134.469298,7.052127,1.000000,1.000000,5
seq_hetero,15,0.007480,9.047829,133.695195,6.982362,1.000000,0.993750,4
