composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.180817,56.917237,0.017569,0.449219,0.000000,0.449219,0.003912,3.912000
2,2,7.151558,56.685141,0.017641,0.449219,0.063477,0.512695,0.003928,3.928000
3,2,7.124460,56.470209,0.017708,0.449219,0.382744,0.831963,0.003920,3.920000
4,2,7.144348,56.627029,0.017659,2.539062,2.119937,4.659000,0.003920,3.920000
5,2,7.119649,56.429786,0.017721,1.230469,0.793951,2.024420,0.003912,3.912000
6,3,7.123374,56.461682,0.017711,0.449219,0.447187,0.896406,0.003928,3.928000
7,3,7.136080,56.562415,0.017680,2.539062,2.184102,4.723164,0.003936,3.936000
8,3,7.106724,56.328065,0.017753,1.230469,0.857636,2.088104,0.003936,3.936000
9,3,7.132784,56.535813,0.017688,2.539062,2.500801,5.039863,0.003928,3.928000
10,3,7.097019,56.251584,0.017777,1.230469,1.176493,2.406962,0.003928,3.928000
11,3,7.140105,56.590718,0.017671,3.320312,2.916527,6.236840,0.003920,3.920000
12,4,7.131859,56.528412,0.017690,2.539062,2.566914,5.105977,0.003952,3.952000
13,4,7.095933,56.243058,0.017780,1.230469,1.240937,2.471405,0.003936,3.936000
14,4,7.132111,56.527680,0.017690,3.320312,2.980773,6.301085,0.003944,3.944000
15,4,7.128542,56.499502,0.017699,3.320312,3.300027,6.620340,0.003928,3.928000
16,5,7.127616,56.492100,0.017702,3.320312,3.363504,6.683816,0.003952,3.952000
