composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,9.513176,66.803443,0.014969,0.449219,0.000000,0.449219,0.010152,10.152000
2,2,9.434771,66.023753,0.015146,0.449219,0.072617,0.521836,0.010117,10.116800
3,2,9.291314,50.392741,0.019844,1.230469,0.909255,2.139723,0.007843,6.661800
4,2,9.345517,63.775976,0.015680,0.449219,0.435273,0.884492,0.009853,9.852800
5,2,9.299222,55.810704,0.017918,2.539062,2.424637,4.963699,0.008676,9.244800
6,3,9.345076,62.967522,0.015881,0.449219,0.508011,0.957230,0.009730,9.857600
7,3,9.253844,50.270291,0.019892,1.230469,0.977600,2.208068,0.007848,6.631000
8,3,9.244241,50.243019,0.019903,3.320312,3.340442,6.660754,0.007861,6.466000
9,3,9.283425,55.742044,0.017940,2.539062,2.502861,5.041924,0.008682,9.217800
10,3,9.257098,55.663581,0.017965,2.539062,2.861414,5.400476,0.008677,8.955400
11,3,9.209047,50.153871,0.019939,1.230469,1.340899,2.571368,0.007848,6.350200
12,4,9.252929,54.843591,0.018234,2.539062,2.935577,5.474639,0.008553,8.961800
13,4,9.208643,49.339460,0.020268,1.230469,1.415124,2.645593,0.007726,6.356400
14,4,9.214764,50.126678,0.019949,3.320312,3.415888,6.736200,0.007855,6.434200
15,4,9.186230,50.064170,0.019974,3.320312,3.768322,7.088634,0.007854,6.157600
16,5,9.180438,49.223123,0.020316,3.320312,3.840808,7.161121,0.007726,6.163200
