composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.930369,483.792580,0.002067,0.449219,0.000000,0.449219,0.067712,67.712000
2,2,7.865965,476.599329,0.002098,0.449219,0.068047,0.517266,0.067244,67.288000
3,2,7.800577,450.770562,0.002218,0.449219,0.386128,0.835347,0.064244,64.610000
4,2,7.759736,219.258071,0.004561,1.230469,0.819738,2.050206,0.030984,31.568000
5,2,7.763244,179.336958,0.005576,2.539062,2.183887,4.722949,0.025560,31.600000
6,3,7.806782,450.112425,0.002222,0.449219,0.470360,0.919579,0.064076,64.454000
7,3,7.728745,214.161018,0.004669,1.230469,0.887273,2.117741,0.030512,31.136000
8,3,7.742209,174.859930,0.005719,2.539062,2.249243,4.788305,0.025024,31.104000
9,3,7.703541,189.846033,0.005267,1.230469,1.221205,2.451674,0.027215,28.194000
10,3,7.734732,152.153263,0.006572,2.539062,2.604797,5.143860,0.022008,28.412000
11,3,7.713102,151.081368,0.006619,3.320312,3.013294,6.333606,0.021535,23.486000
12,4,7.702854,190.057703,0.005262,1.230469,1.288080,2.518549,0.027295,28.274000
13,4,7.733732,152.581055,0.006554,2.539062,2.676890,5.215953,0.022144,28.538000
14,4,7.698534,146.797958,0.006812,3.320312,3.080165,6.400477,0.021143,23.150000
15,4,7.686699,122.973730,0.008132,3.320312,3.406747,6.727060,0.017711,20.070000
16,5,7.697943,123.207759,0.008116,3.320312,3.484369,6.804682,0.017783,20.132000
