composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.292441,57.059319,0.017526,0.449219,0.000000,0.449219,0.002006,2.006400
2,2,7.277157,56.727305,0.017628,0.449219,0.067133,0.516352,0.001999,1.999200
3,2,7.254230,43.961220,0.022747,1.230469,0.799395,2.029863,0.001555,1.316400
4,2,7.261921,55.165440,0.018127,0.449219,0.386805,0.836023,0.001949,1.948800
5,2,7.252365,48.486533,0.020624,2.539062,2.145054,4.684116,0.001713,1.829000
6,3,7.257420,54.421404,0.018375,0.449219,0.453532,0.902750,0.001922,1.948000
7,3,7.247353,43.934322,0.022761,1.230469,0.863168,2.093637,0.001557,1.311600
8,3,7.247133,43.933402,0.022762,3.320312,2.939580,6.259893,0.001558,1.281200
9,3,7.246024,48.465433,0.020633,2.539062,2.209501,4.748563,0.001714,1.821800
10,3,7.242634,48.452824,0.020639,2.539062,2.527803,5.066866,0.001714,1.769800
11,3,7.240522,43.908780,0.022774,1.230469,1.185465,2.415934,0.001557,1.259600
12,4,7.246004,47.744194,0.020945,2.539062,2.593120,5.132182,0.001692,1.776000
13,4,7.239700,43.180100,0.023159,1.230469,1.250488,2.480957,0.001531,1.260400
14,4,7.238248,43.907190,0.022775,3.320312,3.002639,6.322952,0.001558,1.274000
15,4,7.239641,43.904146,0.022777,3.320312,3.323826,6.644138,0.001558,1.222000
16,5,7.238864,43.175626,0.023161,3.320312,3.388187,6.708500,0.001536,1.227400
