Workflow_Type,Construction,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
case1_real,1,0.015538,9.172060,64.358699,0.446969,0.762681,0.606884,1
case1_real,16,0.020198,9.221064,49.508901,7.031488,1.000000,1.000000,5
case1_real,13,0.020314,9.160596,49.227798,2.634511,1.000000,0.987269,4
case2_homo,1,0.015538,9.172060,64.358699,0.446969,1.000000,1.000000,1
case2_homo,16,0.015460,9.221064,64.682164,7.031488,1.000000,1.000000,5
case2_homo,3,0.015590,9.143119,64.144910,0.907968,1.000000,1.000000,2
case3_hetero,1,0.001942,9.172060,514.869595,0.446969,0.264040,0.297781,1
case3_hetero,16,0.007536,9.221064,132.693688,7.031488,1.000000,1.000000,5
case3_hetero,15,0.007480,9.254523,133.689244,7.013565,1.000000,0.993750,4
