composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.043865,450.807355,0.002218,0.449219,0.000000,0.449219,0.030682,30.681600
2,2,7.014459,445.911994,0.002243,0.449219,0.063477,0.512695,0.030466,30.480000
3,2,6.984707,422.818362,0.002365,0.449219,0.375977,0.825195,0.029014,29.180400
4,2,6.967737,205.532337,0.004865,1.230469,0.781250,2.011719,0.014050,14.313600
5,2,6.966331,169.145986,0.005912,2.539062,2.089844,4.628906,0.011619,14.342400
6,3,6.983057,422.811763,0.002365,0.449219,0.439453,0.888672,0.029014,29.175200
7,3,6.954424,201.666864,0.004959,1.230469,0.844727,2.075195,0.013846,14.124800
8,3,6.957805,165.586945,0.006039,2.539062,2.153320,4.692383,0.011416,14.153600
9,3,6.941927,179.677616,0.005566,1.230469,1.157227,2.387695,0.012382,12.812400
10,3,6.951356,143.984769,0.006945,2.539062,2.465820,5.004883,0.009951,12.841200
11,3,6.946063,142.272417,0.007029,3.320312,2.871094,6.191406,0.009771,10.646400
12,4,6.940277,179.671017,0.005566,1.230469,1.220703,2.451172,0.012382,12.807200
13,4,6.949707,143.978170,0.006945,2.539062,2.529297,5.068359,0.009952,12.836000
14,4,6.937537,138.713376,0.007209,3.320312,2.934570,6.254883,0.009568,10.457600
15,4,6.931089,117.111200,0.008539,3.320312,3.247070,6.567383,0.008103,9.145200
16,5,6.929439,117.104601,0.008539,3.320312,3.310547,6.630859,0.008104,9.140000
