composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.652592,58.402309,0.017123,0.449219,0.000000,0.449219,0.001408,1.408000
2,2,7.637482,58.093758,0.017214,0.449219,0.066198,0.515417,0.001403,1.403200
3,2,7.631065,56.598181,0.017668,0.449219,0.384098,0.833316,0.001371,1.371200
4,2,7.624532,49.806407,0.020078,2.539062,2.180125,4.719188,0.001209,1.285400
5,2,7.624792,45.129813,0.022158,1.230469,0.818265,2.048734,0.001094,0.922600
6,3,7.628696,55.859524,0.017902,0.449219,0.453377,0.902596,0.001355,1.372000
7,3,7.622997,49.797638,0.020081,2.539062,2.246896,4.785958,0.001210,1.282200
8,3,7.620095,45.111552,0.022167,1.230469,0.882437,2.112906,0.001097,0.920200
9,3,7.622028,49.756836,0.020098,2.539062,2.583393,5.122456,0.001210,1.247400
10,3,7.622971,45.109063,0.022168,1.230469,1.220124,2.450593,0.001097,0.884200
11,3,7.615985,45.098251,0.022174,3.320312,3.003924,6.324237,0.001094,0.894200
12,4,7.627177,49.021634,0.020399,2.539062,2.661555,5.200617,0.001192,1.250000
13,4,7.623536,44.382095,0.022532,1.230469,1.274622,2.505091,0.001082,0.890600
14,4,7.615132,45.090941,0.022177,3.320312,3.071098,6.391410,0.001098,0.893400
15,4,7.619313,45.095046,0.022175,3.320312,3.397039,6.717352,0.001097,0.855000
16,5,7.618735,44.374469,0.022535,3.320312,3.467012,6.787324,0.001084,0.864400
