composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.887426,59.905390,0.016693,0.449219,0.000000,0.449219,0.004272,4.272000
2,2,7.861407,59.709348,0.016748,0.449219,0.063477,0.512695,0.004296,4.296000
3,2,7.868020,59.741998,0.016739,0.449219,0.416582,0.865801,0.004288,4.288000
4,2,8.247873,62.707535,0.015947,2.539062,2.194658,4.733720,0.004280,4.280000
5,2,7.975870,60.579847,0.016507,1.230469,0.821168,2.051637,0.004280,4.280000
6,3,7.859631,59.726634,0.016743,0.449219,0.479312,0.928530,0.004288,4.288000
7,3,8.259510,62.745875,0.015937,2.539062,2.267480,4.806543,0.004304,4.304000
8,3,7.967612,60.518686,0.016524,1.230469,0.885298,2.115766,0.004296,4.296000
9,3,8.291454,62.972249,0.015880,2.539062,2.608185,5.147247,0.004288,4.288000
10,3,7.975918,60.626271,0.016494,1.230469,1.219871,2.450339,0.004280,4.280000
11,3,8.404416,63.876867,0.015655,3.320312,3.026628,6.346941,0.004280,4.280000
12,4,8.297448,63.015616,0.015869,2.539062,2.676425,5.215488,0.004320,4.320000
13,4,7.976744,60.649204,0.016488,1.230469,1.290545,2.521014,0.004312,4.312000
14,4,8.404539,63.869149,0.015657,3.320312,3.091304,6.411616,0.004304,4.304000
15,4,8.415910,64.013955,0.015622,3.320312,3.410583,6.730896,0.004304,4.304000
16,5,8.439318,64.126254,0.015594,3.320312,3.486685,6.806998,0.004320,4.320000
