Composition,Failure_Rate_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
14,25.000000,0.015233,9.511814,65.647258,6.653289,1.000000,1.000000,4
15,0.000000,0.018116,6.900000,55.200000,6.567383,1.000000,1.000000,4
15,1.000000,0.018003,6.986397,55.545587,6.567383,1.000000,1.000000,4
15,5.000000,0.017460,7.418384,57.273536,6.623809,1.000000,1.000000,4
15,10.000000,0.016908,7.886303,59.145210,6.749419,1.000000,1.000000,4
15,25.000000,0.015544,9.270060,64.334653,6.905867,1.000000,1.000000,4
16,0.000000,0.018116,6.900000,55.200000,6.630859,1.000000,1.000000,5
16,1.000000,0.018003,6.986397,55.545587,6.630859,1.000000,1.000000,5
16,5.000000,0.017389,7.477072,57.508288,6.718807,1.000000,1.000000,5
16,10.000000,0.016962,7.839175,58.956700,6.781398,1.000000,1.000000,5
16,25.000000,0.015330,9.407963,65.231851,7.066976,1.000000,1.000000,5
