data_transfer_rate_mbps,rate_dir,workflow_type,composition_number,event_throughput,wall_time_per_event,cpu_time_per_event,network_transfer_mb_per_event,cpu_utilization,memory_occupancy,total_groups,job_overhead_secs_mean,job_overhead_secs_std,job_overhead_cpu_time_mean,job_overhead_cpu_time_std,job_overhead_sample_count
10,10MBps,case1_real,1,0.017875,6.992862,55.942895,0.449219,0.762681,0.606884,1,581.113110,2.765246,4648.904881,22.121966,799
10,10MBps,case1_real,2,0.017958,6.989406,55.685659,0.512695,0.882299,0.803832,2,559.483925,489.707411,4290.734512,1780.950631,799
10,10MBps,case1_real,3,0.018416,7.010756,54.301845,0.825195,0.677404,0.806731,2,692.222070,1058.417099,4386.529688,3832.356001,800
10,10MBps,case1_real,4,0.019988,7.384875,50.029964,4.628906,0.900128,0.728426,2,3030.466406,1680.462588,17687.275000,3203.334751,800
10,10MBps,case1_real,5,0.022713,7.123684,44.028356,2.011719,0.971774,0.945565,2,1399.773936,500.864725,7686.830413,131.780673,799
10,10MBps,case1_real,6,0.018679,7.016539,53.536105,0.888672,0.930769,0.871154,3,728.369922,1202.333203,3975.654687,2442.960831,800
10,10MBps,case1_real,7,0.019982,7.388366,50.043931,4.692383,0.932671,0.822369,3,3052.289258,1713.598859,17774.566406,3329.861460,800
10,10MBps,case1_real,8,0.022709,7.125616,44.036082,2.075195,0.980874,0.965847,3,1410.097070,633.195117,7725.513281,1502.175059,800
10,10MBps,case1_real,9,0.019936,7.417480,50.160387,5.004883,0.816752,0.852284,3,3230.213990,2035.777814,18479.317260,4751.552063,801
10,10MBps,case1_real,10,0.022653,7.152690,44.144378,2.387695,0.854167,0.983025,3,1579.309570,970.832009,8402.363281,2845.280868,800
10,10MBps,case1_real,11,0.021896,7.534309,45.670854,6.191406,0.970833,0.966667,3,3964.428906,3805.838107,17942.840625,13598.892423,800
10,10MBps,case1_real,12,0.020245,7.423264,49.394647,5.068359,0.971939,0.889213,4,3266.316713,2070.231559,18068.955212,5044.820083,801
10,10MBps,case1_real,13,0.023053,7.158473,43.378638,2.451172,1.000000,0.987269,4,1615.457422,1097.114526,7991.488281,1637.336176,800
10,10MBps,case1_real,14,0.021889,7.537800,45.684821,6.254883,0.977564,0.977564,4,3986.251758,3815.239936,18030.132031,13627.612621,800
10,10MBps,case1_real,15,0.021833,7.566914,45.801277,6.567383,0.890625,1.000000,4,4163.010495,3926.606732,18734.563826,14022.220828,801
10,10MBps,case1_real,16,0.022205,7.572698,45.035537,6.630859,1.000000,1.000000,5,4199.113218,3936.022186,18324.201779,14131.715695,801
10,10MBps,case2_homo,1,0.017875,6.992862,55.942895,0.449219,1.000000,1.000000,1,581.113110,2.765246,4648.904881,22.121966,799
10,10MBps,case2_homo,2,0.017884,6.989406,55.915244,0.512695,1.000000,1.000000,2,559.483925,489.707411,4475.871402,3917.659284,799
10,10MBps,case2_homo,3,0.017830,7.010756,56.086044,0.825195,1.000000,1.000000,2,692.222070,1058.417099,5537.776563,8467.336794,800
10,10MBps,case2_homo,4,0.016926,7.384875,59.078997,4.628906,1.000000,1.000000,2,3030.466406,1680.462588,24243.731250,13443.700700,800
10,10MBps,case2_homo,5,0.017547,7.123684,56.989471,2.011719,1.000000,1.000000,2,1399.773936,500.864725,11198.191489,4006.917801,799
10,10MBps,case2_homo,6,0.017815,7.016539,56.132314,0.888672,1.000000,1.000000,3,728.369922,1202.333203,5826.959375,9618.665623,800
10,10MBps,case2_homo,7,0.016918,7.388366,59.106930,4.692383,1.000000,1.000000,3,3052.289258,1713.598859,24418.314063,13708.790876,800
10,10MBps,case2_homo,8,0.017542,7.125616,57.004924,2.075195,1.000000,1.000000,3,1410.097070,633.195117,11280.776562,5065.560936,800
10,10MBps,case2_homo,9,0.016852,7.417480,59.339842,5.004883,1.000000,1.000000,3,3230.213990,2035.777814,25841.711923,16286.222513,801
10,10MBps,case2_homo,10,0.017476,7.152690,57.221516,2.387695,1.000000,1.000000,3,1579.309570,970.832009,12634.476562,7766.656071,800
10,10MBps,case2_homo,11,0.016591,7.534309,60.274469,6.191406,1.000000,1.000000,3,3964.428906,3805.838107,31715.431250,30446.704856,800
10,10MBps,case2_homo,12,0.016839,7.423264,59.386111,5.068359,1.000000,1.000000,4,3266.316713,2070.231559,26130.533708,16561.852469,801
10,10MBps,case2_homo,13,0.017462,7.158473,57.267786,2.451172,1.000000,1.000000,4,1615.457422,1097.114526,12923.659375,8776.916210,800
10,10MBps,case2_homo,14,0.016583,7.537800,60.302402,6.254883,1.000000,1.000000,4,3986.251758,3815.239936,31890.014062,30521.919491,800
10,10MBps,case2_homo,15,0.016519,7.566914,60.535314,6.567383,1.000000,1.000000,4,4163.010495,3926.606732,33304.083958,31412.853854,801
10,10MBps,case2_homo,16,0.016507,7.572698,60.581584,6.630859,1.000000,1.000000,5,4199.113218,3936.022186,33592.905743,31488.177484,801
10,10MBps,case3_hetero,1,0.002234,6.992862,447.543160,0.449219,0.264040,0.297781,1,581.113110,2.765246,37191.239049,176.975728,799
10,10MBps,case3_hetero,2,0.002253,6.989406,443.878181,0.512695,0.632755,0.649521,2,559.483925,489.707411,33029.917866,752.398630,799
10,10MBps,case3_hetero,3,0.002370,7.010756,421.925362,0.825195,0.638221,0.640865,2,692.222070,1058.417099,27033.509375,1956.599450,800
10,10MBps,case3_hetero,4,0.004733,7.123684,211.261253,2.011719,0.784274,0.812248,2,1399.773936,500.864725,56703.710889,61769.406121,799
10,10MBps,case3_hetero,5,0.005383,7.384875,185.765459,4.628906,0.566964,0.575949,2,3030.466406,1680.462588,116034.118750,157258.283569,800
10,10MBps,case3_hetero,6,0.002370,7.016539,421.948496,0.888672,0.758814,0.768910,3,728.369922,1202.333203,27178.100781,1417.152750,800
10,10MBps,case3_hetero,7,0.004809,7.125616,207.941106,2.075195,0.858948,0.877561,3,1410.097070,633.195117,54631.911719,60091.173298,800
10,10MBps,case3_hetero,8,0.005478,7.388366,182.545152,4.692383,0.717720,0.723329,3,3052.289258,1713.598859,114657.199219,157739.099021,800
10,10MBps,case3_hetero,9,0.005366,7.152690,186.354623,2.387695,0.881173,0.889815,3,1579.309570,970.832009,50966.390625,60372.773871,800
10,10MBps,case3_hetero,10,0.006208,7.417480,161.089228,5.004883,0.773810,0.765476,3,3230.213990,2035.777814,111668.093009,174544.098720,801
10,10MBps,case3_hetero,11,0.006259,7.534309,159.777096,6.191406,0.937500,0.943490,3,3964.428906,3805.838107,119856.850000,157990.591033,800
10,10MBps,case3_hetero,12,0.005365,7.158473,186.377757,2.451172,0.910880,0.923611,4,1615.457422,1097.114526,51110.982031,60300.267208,800
10,10MBps,case3_hetero,13,0.006207,7.423264,161.112363,5.068359,0.830357,0.830357,4,3266.316713,2070.231559,111812.503901,174468.764748,801
10,10MBps,case3_hetero,14,0.006387,7.537800,156.556789,6.254883,0.957933,0.962139,4,3986.251758,3815.239936,118479.930469,158502.437919,800
10,10MBps,case3_hetero,15,0.007402,7.566914,135.100865,6.567383,1.000000,0.993750,4,4163.010495,3926.606732,115486.051810,175298.635072,801
10,10MBps,case3_hetero,16,0.007401,7.572698,135.124000,6.630859,1.000000,1.000000,5,4199.113218,3936.022186,115630.462703,175220.474958,801
100,100MBps,case1_real,1,0.017979,6.952432,55.619458,0.449219,0.762681,0.606884,1,328.111311,0.276525,2624.890488,2.212197,799
100,100MBps,case1_real,2,0.018069,6.943263,55.342886,0.512695,0.882299,0.803832,2,270.731872,35.053992,2145.719258,49.779992,799
