composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.041810,448.441446,0.002230,0.449219,0.000000,0.449219,0.015501,15.500800
2,2,7.026981,444.489088,0.002250,0.449219,0.063477,0.512695,0.015394,15.401600
3,2,6.997625,204.635309,0.004887,1.230469,0.784153,2.014622,0.007084,7.217200
4,2,7.011947,422.435815,0.002367,0.449219,0.375977,0.825195,0.014661,14.744800
5,2,6.991265,168.576815,0.005932,2.539062,2.092853,4.631916,0.005843,7.219200
6,3,7.011137,422.432576,0.002367,0.449219,0.439453,0.888672,0.014662,14.744800
7,3,6.990911,201.199509,0.004970,1.230469,0.847677,2.078146,0.006977,7.118000
8,3,6.981114,141.698651,0.007057,3.320312,2.878194,6.198506,0.004911,5.354800
9,3,6.986987,165.295787,0.006050,2.539062,2.156407,4.695469,0.005736,7.120000
10,3,6.983767,143.994195,0.006945,2.539062,2.469582,5.008645,0.005003,6.463200
11,3,6.984655,179.529806,0.005570,1.230469,1.162433,2.392902,0.006233,6.452400
12,4,6.982945,143.990908,0.006945,2.539062,2.533059,5.072121,0.005004,6.461200
13,4,6.983809,179.526448,0.005570,1.230469,1.226297,2.456765,0.006233,6.450400
14,4,6.976861,138.419159,0.007224,3.320312,2.941748,6.262060,0.004817,5.268400
15,4,6.973616,117.116031,0.008539,3.320312,3.254923,6.575235,0.004071,4.598800
16,5,6.972806,117.112792,0.008539,3.320312,3.318399,6.638712,0.004073,4.598800
