Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
11,0.000000,26895,0,26895,0.000000,0.006348,39.384027,157.536109,3.769531,1.000000,1.000000,3
11,1.000000,27165,267,26898,0.982882,0.006316,39.775070,158.318386,3.776135,1.000000,1.000000,3
11,5.000000,28264,1365,26899,4.833003,0.006191,41.383415,161.535052,3.813658,1.000000,1.000000,3
11,10.000000,29843,2942,26901,9.858258,0.006019,43.692397,166.153208,3.861505,1.000000,1.000000,3
11,25.000000,35829,8927,26902,24.918362,0.005444,52.454084,183.676584,4.049419,1.000000,1.000000,3
12,0.000000,26887,0,26887,0.000000,0.006264,39.907696,159.630782,1.718750,1.000000,1.000000,4
12,1.000000,27157,266,26891,0.979490,0.006234,40.302698,160.420883,1.721422,1.000000,1.000000,4
12,5.000000,28266,1373,26893,4.860964,0.006108,41.946393,163.708297,1.735358,1.000000,1.000000,4
12,10.000000,29852,2957,26895,9.912234,0.005938,44.298958,168.413451,1.757490,1.000000,1.000000,4
12,25.000000,35808,8908,26900,24.888293,0.005374,53.133891,186.083389,1.840924,1.000000,1.000000,4
13,0.000000,26887,0,26887,0.000000,0.006264,39.907696,159.630782,1.718750,1.000000,1.000000,4
13,1.000000,27157,266,26891,0.979490,0.006234,40.302698,160.420883,1.721422,1.000000,1.000000,4
13,5.000000,28266,1373,26893,4.860964,0.006108,41.946393,163.708297,1.735358,1.000000,1.000000,4
13,10.000000,29852,2957,26895,9.912234,0.005938,44.298958,168.413451,1.757490,1.000000,1.000000,4
13,25.000000,35808,8908,26900,24.888293,0.005374,53.133891,186.083389,1.840924,1.000000,1.000000,4
14,0.000000,26839,0,26839,0.000000,0.006262,39.922756,159.691025,2.803633,1.000000,1.000000,4
