composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,8.134315,64.752880,0.015443,0.449219,0.000000,0.449219,0.031077,31.076800
2,2,7.895838,62.854455,0.015910,0.449219,0.063934,0.513152,0.031067,31.067200
3,2,7.651867,60.923252,0.016414,0.449219,0.377838,0.827056,0.031061,31.060800
4,2,7.501466,59.715826,0.016746,2.539062,2.100377,4.639439,0.030995,30.995200
5,2,7.514490,59.821598,0.016716,1.230469,0.785011,2.015480,0.031013,31.012800
6,3,7.638862,60.818075,0.016442,0.449219,0.441386,0.890605,0.031069,31.068800
7,3,7.432318,59.165997,0.016902,2.539062,2.164148,4.703210,0.030998,30.998400
8,3,7.406054,58.959766,0.016961,1.230469,0.848871,2.079340,0.031003,31.003200
9,3,7.378804,58.745378,0.017023,2.539062,2.477725,5.016788,0.030992,30.992000
10,3,7.303697,58.150864,0.017197,1.230469,1.162574,2.393042,0.031005,31.004800
11,3,7.336215,58.401738,0.017123,3.320312,2.885138,6.205450,0.031002,31.001600
12,4,7.364566,58.635026,0.017055,2.539062,2.541063,5.080125,0.030989,30.988800
13,4,7.290251,58.043775,0.017228,1.230469,1.226175,2.456643,0.031008,31.008000
14,4,7.266788,57.850694,0.017286,3.320312,2.948767,6.269079,0.031002,31.001600
15,4,7.213169,57.429751,0.017413,3.320312,3.261894,6.582206,0.030997,30.996800
16,5,7.199711,57.322615,0.017445,3.320312,3.325678,6.645990,0.031000,31.000000
