Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
13,1.000000,19379,194,19185,1.011207,0.006589,7.418635,151.776336,5.082048,0.830357,0.830357,4
13,5.000000,20142,956,19186,4.982800,0.006452,7.710541,154.980681,5.137567,0.830357,0.830357,4
13,10.000000,21296,2109,19187,10.991817,0.006258,8.151806,159.786717,5.218632,0.830357,0.830357,4
13,25.000000,25509,6319,19190,32.928609,0.005680,9.764351,176.071579,5.479850,0.830357,0.830357,4
14,0.000000,19185,0,19185,0.000000,0.006747,7.257785,148.208224,6.254883,0.957933,0.962139,4
14,1.000000,19383,194,19189,1.010996,0.006712,7.331238,148.980281,6.269658,0.957933,0.962139,4
14,5.000000,20150,959,19191,4.997134,0.006573,7.620706,152.134044,6.332310,0.957933,0.962139,4
14,10.000000,21302,2110,19192,10.994164,0.006383,8.056795,156.669812,6.420914,0.957933,0.962139,4
14,25.000000,25486,6291,19195,32.774160,0.005792,9.640052,172.664446,6.719809,0.957933,0.962139,4
15,0.000000,19185,0,19185,0.000000,0.008172,7.209238,122.374430,6.567383,1.000000,0.993750,4
15,1.000000,19380,194,19186,1.011154,0.008135,7.282014,122.932083,6.583234,1.000000,0.993750,4
15,5.000000,20150,960,19190,5.002606,0.007969,7.569788,125.480950,6.651984,1.000000,0.993750,4
15,10.000000,21303,2111,19192,10.999375,0.007718,8.002854,129.574968,6.752907,1.000000,0.993750,4
15,25.000000,25508,6317,19191,32.916471,0.007010,9.584313,142.649200,7.098045,1.000000,0.993750,4
16,0.000000,19185,0,19185,0.000000,0.008175,7.196529,122.323593,6.630859,1.000000,1.000000,5
16,1.000000,19383,194,19189,1.010996,0.008138,7.269321,122.881349,6.647401,1.000000,1.000000,5
16,5.000000,20153,959,19194,4.996353,0.007961,7.556814,125.614949,6.718565,1.000000,1.000000,5
16,10.000000,21306,2111,19195,10.997656,0.007732,7.988941,129.336885,6.819191,1.000000,1.000000,5
16,25.000000,25510,6308,19202,32.850745,0.007037,9.564497,142.112671,7.159794,1.000000,1.000000,5
