composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,2,40.621576,318.082028,0.003144,0.888672,0.538597,1.427269,0.042812,43.539200
2,2,40.621576,318.082028,0.003144,0.888672,0.538597,1.427269,0.042812,42.448400
3,3,40.610761,318.041791,0.003144,0.888672,0.685141,1.573813,0.042815,43.544000
4,3,40.610761,318.041791,0.003144,0.888672,0.685141,1.573813,0.042815,42.450800
5,3,40.296464,314.274242,0.003182,0.888672,0.685676,1.574348,0.042551,43.196400
6,3,40.296464,314.274242,0.003182,0.888672,0.685676,1.574348,0.042551,42.355200
7,3,40.301408,160.579079,0.006227,1.504355,1.158226,2.662582,0.021708,43.340600
8,3,40.301408,160.579079,0.006227,1.504355,1.158226,2.662582,0.021708,42.246200
9,3,39.979159,307.654004,0.003250,0.888672,1.078383,1.967055,0.042062,42.425600
10,3,39.737426,280.959272,0.003559,2.060547,1.715588,3.776135,0.038639,43.464000
11,3,39.737426,280.959272,0.003559,2.060547,1.715588,3.776135,0.038639,42.376800
12,4,40.285548,314.230743,0.003182,0.888672,0.832750,1.721422,0.042552,43.198000
13,4,40.285548,314.230743,0.003182,0.888672,0.832750,1.721422,0.042552,42.355600
14,4,40.290504,160.535652,0.006229,1.504355,1.305390,2.809745,0.021710,43.343800
15,4,40.290504,160.535652,0.006229,1.504355,1.305390,2.809745,0.021710,42.247000
16,4,39.968309,307.613674,0.003251,0.888672,1.225106,2.113777,0.042066,42.430400
17,4,39.968309,307.613674,0.003251,0.888672,1.225106,2.113777,0.042066,42.430400
18,4,39.984033,159.317958,0.006277,1.504355,1.305120,2.809476,0.021769,43.207800
19,4,39.984033,159.317958,0.006277,1.504355,1.305120,2.809476,0.021769,42.369000
20,4,39.726570,280.915940,0.003560,2.060547,1.862487,3.923034,0.038641,43.467200
21,4,39.482620,157.320075,0.006356,2.676230,2.334935,5.011165,0.021707,43.339000
22,4,39.726570,280.915940,0.003560,2.060547,1.862487,3.923034,0.038641,42.376400
23,4,39.482620,157.320075,0.006356,2.676230,2.334935,5.011165,0.021707,42.248200
24,4,39.671988,280.701753,0.003563,2.060547,1.862439,3.922986,0.038641,43.212800
25,4,39.671988,280.701753,0.003563,2.060547,1.862439,3.922986,0.038641,42.380000
26,4,39.623982,280.510660,0.003565,2.060547,2.255115,4.315662,0.038638,42.368800
27,4,39.673462,158.079518,0.006326,1.504355,1.698298,3.202653,0.021705,42.237400
28,5,39.957338,307.567053,0.003251,0.888672,1.372566,2.261238,0.042063,42.428400
29,5,39.973172,159.274642,0.006278,1.504355,1.451855,2.956210,0.021771,43.212600
30,5,39.973172,159.274642,0.006278,1.504355,1.451855,2.956210,0.021771,42.371400
31,5,39.471775,157.276766,0.006358,2.676230,2.481594,5.157825,0.021709,43.342200
32,5,39.471775,157.276766,0.006358,2.676230,2.481594,5.157825,0.021709,42.250200
33,5,39.661156,280.658494,0.003563,2.060547,2.009368,4.069915,0.038643,43.217600
34,5,39.661156,280.658494,0.003563,2.060547,2.009368,4.069915,0.038643,42.380000
35,5,39.613126,280.467328,0.003565,2.060547,2.401957,4.462503,0.038639,42.372000
36,5,39.613126,280.467328,0.003565,2.060547,2.401957,4.462503,0.038639,42.372000
37,5,39.662558,158.036091,0.006328,1.504355,1.845176,3.349532,0.021706,42.241800
38,5,39.662558,158.036091,0.006328,1.504355,1.845176,3.349532,0.021706,42.240600
39,5,39.418657,157.065483,0.006367,2.676230,2.481769,5.157999,0.021709,43.087800
40,5,39.418657,157.065483,0.006367,2.676230,2.481769,5.157999,0.021709,42.253800
41,5,39.370675,156.874461,0.006375,2.676230,2.874214,5.550444,0.021706,42.244200
42,6,39.602245,280.423948,0.003566,2.060547,2.548941,4.609488,0.038641,42.374000
43,6,39.651678,157.992735,0.006329,1.504355,1.991750,3.496106,0.021709,42.244200
44,6,39.407801,157.022152,0.006369,2.676230,2.628787,5.305018,0.021710,43.091000
45,6,39.407801,157.022152,0.006369,2.676230,2.628787,5.305018,0.021710,42.253400
46,6,39.359806,156.831105,0.006376,2.676230,3.021110,5.697340,0.021708,42.248600
47,6,39.359806,156.831105,0.006376,2.676230,3.021110,5.697340,0.021708,42.247400
48,7,39.348938,156.787773,0.006378,2.676230,3.168130,5.844360,0.021710,42.253400
