composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,2,53.566072,369.082467,0.002709,0.888672,0.617807,1.506479,0.056472,57.414400
2,2,53.566072,369.082467,0.002709,0.888672,0.617807,1.506479,0.056472,56.000800
3,3,53.550720,369.027420,0.002710,0.888672,0.786217,1.674889,0.056474,57.420800
4,3,53.550720,369.027420,0.002710,0.888672,0.786217,1.674889,0.056474,56.001200
5,3,53.128587,364.663175,0.002742,0.888672,0.784433,1.673105,0.056128,56.965200
6,3,53.128587,364.663175,0.002742,0.888672,0.784433,1.673105,0.056128,55.870800
7,3,53.158808,186.324696,0.005367,1.504355,1.341511,2.845866,0.028634,57.171000
8,3,53.158808,186.324696,0.005367,1.504355,1.341511,2.845866,0.028634,55.733400
9,3,52.688399,356.969621,0.002801,0.888672,1.233058,2.121730,0.055483,55.949600
10,3,52.408984,326.011469,0.003067,2.060547,1.988873,4.049419,0.050967,57.326400
11,3,52.408984,326.011469,0.003067,2.060547,1.988873,4.049419,0.050967,55.888800
12,4,53.113626,364.617839,0.002743,0.888672,0.952252,1.840924,0.056132,56.970000
13,4,53.113626,364.617839,0.002743,0.888672,0.952252,1.840924,0.056132,55.874400
14,4,53.138297,186.262295,0.005369,1.504355,1.514236,3.018591,0.028634,57.172600
15,4,53.138297,186.262295,0.005369,1.504355,1.514236,3.018591,0.028634,55.720600
16,4,52.636110,356.849378,0.002802,0.888672,1.392669,2.281341,0.055466,55.945200
17,4,52.636110,356.849378,0.002802,0.888672,1.392669,2.281341,0.055466,55.917600
18,4,52.722313,184.822819,0.005411,1.504355,1.509262,3.013618,0.028706,56.989200
19,4,52.722313,184.822819,0.005411,1.504355,1.509262,3.013618,0.028706,55.881600
20,4,52.403885,325.968188,0.003068,2.060547,2.160378,4.220925,0.050970,57.339200
21,4,51.887976,182.159927,0.005490,2.676230,2.695070,5.371301,0.028526,56.961800
22,4,52.403885,325.968188,0.003068,2.060547,2.160378,4.220925,0.050970,55.898000
23,4,51.887976,182.159927,0.005490,2.676230,2.695070,5.371301,0.028526,55.535000
24,4,52.311160,325.654475,0.003071,2.060547,2.157975,4.218522,0.050955,56.979600
25,4,52.311160,325.654475,0.003071,2.060547,2.157975,4.218522,0.050955,55.900800
26,4,52.225907,325.266929,0.003074,2.060547,2.621615,4.682162,0.050906,55.842400
27,4,52.331387,183.427200,0.005452,1.504355,1.969565,3.473920,0.028632,55.715800
28,5,52.659542,356.818915,0.002803,0.888672,1.575350,2.464022,0.055473,55.935600
29,5,52.718691,184.794099,0.005411,1.504355,1.684807,3.189163,0.028714,57.001600
30,5,52.718691,184.794099,0.005411,1.504355,1.684807,3.189163,0.028714,55.879600
31,5,51.884651,182.131994,0.005491,2.676230,2.867392,5.543623,0.028538,56.984200
32,5,51.884651,182.131994,0.005491,2.676230,2.867392,5.543623,0.028538,55.543000
33,5,52.301097,325.612994,0.003071,2.060547,2.328268,4.388815,0.050962,56.990000
34,5,52.301097,325.612994,0.003071,2.060547,2.328268,4.388815,0.050962,55.906400
35,5,52.159031,325.135110,0.003076,2.060547,2.779529,4.840076,0.050886,55.788800
36,5,52.159031,325.135110,0.003076,2.060547,2.779529,4.840076,0.050886,55.814000
37,5,52.252477,183.250998,0.005457,1.504355,2.123446,3.627801,0.028603,55.679600
38,5,52.252477,183.250998,0.005457,1.504355,2.123446,3.627801,0.028603,55.690400
39,5,51.804722,181.867184,0.005499,2.676230,2.868659,5.544889,0.028534,56.634200
40,5,51.804722,181.867184,0.005499,2.676230,2.868659,5.544889,0.028534,55.531400
41,5,51.722439,181.608190,0.005506,2.676230,3.313354,5.989585,0.028518,55.532200
42,6,52.164739,325.151594,0.003075,2.060547,2.950426,5.010973,0.050912,55.838800
43,6,52.255977,183.233695,0.005458,1.504355,2.306007,3.810363,0.028616,55.734200
44,6,51.819216,181.874866,0.005498,2.676230,3.039761,5.715991,0.028554,56.665800
45,6,51.819216,181.874866,0.005498,2.676230,3.039761,5.715991,0.028554,55.579800
46,6,51.683077,181.508113,0.005509,2.676230,3.475626,6.151857,0.028509,55.475800
47,6,51.683077,181.508113,0.005509,2.676230,3.475626,6.151857,0.028509,55.535800
48,7,51.707274,181.535151,0.005509,2.676230,3.662070,6.338300,0.028533,55.551400
