composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,8.341235,63.447907,0.015761,0.449219,0.000000,0.449219,0.017030,17.030400
2,2,8.215400,62.498743,0.016000,0.449219,0.067423,0.516641,0.017024,17.024000
3,2,8.113926,61.741492,0.016197,0.449219,0.395603,0.844821,0.017024,17.024000
4,2,8.454221,64.322720,0.015547,2.539062,2.204752,4.743814,0.017013,17.012800
5,2,8.168546,62.159638,0.016088,1.230469,0.824515,2.054984,0.017000,17.000000
6,3,8.113582,61.738774,0.016197,0.449219,0.462620,0.911838,0.017027,17.027200
7,3,8.420598,64.077155,0.015606,2.539062,2.270960,4.810022,0.017016,17.016000
8,3,8.114933,61.756978,0.016193,1.230469,0.889933,2.120402,0.017000,17.000000
9,3,8.425591,64.118589,0.015596,2.539062,2.599445,5.138507,0.017008,17.008000
10,3,8.094636,61.600823,0.016234,1.230469,1.220395,2.450864,0.017002,17.001600
11,3,8.530268,64.924834,0.015402,3.320312,3.028019,6.348331,0.016994,16.993600
12,4,8.424914,64.114585,0.015597,2.539062,2.665613,5.204675,0.017011,17.011200
13,4,8.093098,61.593373,0.016236,1.230469,1.286663,2.517131,0.017003,17.003200
14,4,8.499177,64.689351,0.015458,3.320312,3.094853,6.415165,0.017002,17.001600
15,4,8.504318,64.731378,0.015448,3.320312,3.424730,6.745042,0.016997,16.996800
16,5,8.505017,64.733068,0.015448,3.320312,3.491649,6.811962,0.017005,17.004800
