Workflow_Type,Construction,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
fork_real,1,0.002813,51.472454,355.551729,1.504134,0.750268,0.986610,2
fork_real,48,0.005560,51.056399,179.842069,6.319058,1.000000,1.000000,7
fork_real,46,0.005565,50.988526,179.706993,6.137462,1.000000,1.000000,6
fork_homo,1,0.005532,51.472454,180.779936,1.504134,1.000000,1.000000,2
fork_homo,48,0.005567,51.056399,179.617274,6.319058,1.000000,1.000000,7
fork_homo,46,0.005572,50.988526,179.482199,6.137462,1.000000,1.000000,6
fork_hetero,1,0.000357,51.472454,2802.356831,1.504134,0.519878,0.590707,2
fork_hetero,48,0.001671,51.056399,598.602025,6.319058,1.000000,1.000000,7
fork_hetero,46,0.001671,50.988526,598.429737,6.137462,0.971154,0.969231,6
