data_transfer_rate_mbps,rate_dir,workflow_type,composition_number,event_throughput,wall_time_per_event,cpu_time_per_event,network_transfer_mb_per_event,cpu_utilization,memory_occupancy,total_groups,job_overhead_secs_mean,job_overhead_secs_std,job_overhead_cpu_time_mean,job_overhead_cpu_time_std,job_overhead_sample_count
10,10MBps,case3_hetero,5,0.005253,7.844226,190.356741,4.674047,0.566964,0.575949,2,2899.561773,1696.870988,110520.883721,153895.795769,172
10,10MBps,case3_hetero,6,0.002294,7.453056,435.914968,0.888672,0.758814,0.768910,3,687.378946,1123.427964,25961.201228,4522.610051,173
10,10MBps,case3_hetero,7,0.004707,7.570343,212.440294,2.091793,0.858948,0.877561,3,1334.375239,642.271373,51391.798671,59001.992208,174
10,10MBps,case3_hetero,8,0.005344,7.847748,187.128234,4.738679,0.717720,0.723329,3,2902.838483,1732.946242,108561.795159,154183.182926,173
10,10MBps,case3_hetero,9,0.005240,7.597581,190.856855,2.406444,0.881173,0.889815,3,1498.989242,958.606852,48316.299585,58959.661676,173
10,10MBps,case3_hetero,10,0.006034,7.878890,165.733332,5.061309,0.773810,0.765476,3,3077.084515,2020.050706,106278.515896,169282.374352,173
10,10MBps,case3_hetero,11,0.006124,7.995970,163.296171,6.251887,0.937500,0.943490,3,3753.359059,3692.057864,113337.455925,153376.405368,173
10,10MBps,case3_hetero,12,0.005239,7.603449,190.880326,2.469921,0.910880,0.923611,4,1506.777245,1068.416817,47626.082120,58719.975718,176
10,10MBps,case3_hetero,13,0.006033,7.884698,165.756563,5.124785,0.830357,0.830357,4,3075.104442,2068.050295,105196.650714,168620.419376,175
10,10MBps,case3_hetero,14,0.006247,7.999612,160.075344,6.316520,0.957933,0.962139,4,3730.957427,3698.324998,110780.905357,153413.735588,175
10,10MBps,case3_hetero,15,0.007211,8.030694,138.676602,6.639149,1.000000,0.993750,4,3902.869219,3807.707559,108501.777857,169334.961567,175
10,10MBps,case3_hetero,16,0.007210,8.036502,138.699833,6.702626,1.000000,1.000000,5,3891.580619,3815.549306,107407.015537,168693.102184,177
100,100MBps,case1_real,1,0.017434,7.387713,57.360822,0.449219,0.762681,0.606884,1,318.428194,38.709845,2547.425551,309.678756,170
100,100MBps,case1_real,2,0.017518,7.378105,57.082638,0.512695,0.882299,0.803832,2,260.497167,48.423282,2062.758221,311.548863,172
100,100MBps,case1_real,3,0.017984,7.370672,55.606446,0.825195,0.677404,0.806731,2,220.215732,92.162667,1628.575270,261.197436,171
100,100MBps,case1_real,4,0.020333,7.404487,49.180548,4.674047,0.900128,0.728426,2,410.200363,195.886542,2473.252616,410.230753,172
100,100MBps,case1_real,5,0.022472,7.377178,44.499420,2.028049,0.971774,0.945565,2,257.632924,132.276058,1348.972485,280.531108,171
100,100MBps,case1_real,6,0.018216,7.370827,54.897196,0.888672,0.930769,0.871154,3,218.564484,92.838526,1556.279602,271.886180,173
100,100MBps,case1_real,7,0.020337,7.402082,49.171128,4.738679,0.932671,0.822369,3,394.226045,176.864207,2404.543486,409.657428,173
100,100MBps,case1_real,8,0.022480,7.373313,44.484320,2.091793,0.980874,0.965847,3,231.506489,109.929644,1238.976389,251.207590,174
100,100MBps,case1_real,9,0.020335,7.403201,49.175417,5.061309,0.816752,0.852284,3,400.413654,184.776870,2429.293922,415.207002,173
100,100MBps,case1_real,10,0.022482,7.372095,44.479734,2.406444,0.854167,0.983025,3,226.216843,117.505814,1219.626766,320.533784,173
100,100MBps,case1_real,11,0.022401,7.413128,44.640395,6.251887,0.970833,0.966667,3,458.364808,386.925776,2148.218624,1299.707767,173
100,100MBps,case1_real,12,0.020633,7.403296,48.465807,5.124785,0.971939,0.889213,4,396.379016,188.436456,2346.616277,551.588277,175
100,100MBps,case1_real,13,0.022847,7.372250,43.770364,2.469921,1.000000,0.987269,4,223.240225,118.539555,1145.599037,238.075571,176
100,100MBps,case1_real,14,0.022406,7.410843,44.631455,6.316520,0.977564,0.977564,4,440.364314,378.460910,2072.619400,1280.580500,175
100,100MBps,case1_real,15,0.022404,7.411903,44.635504,6.639149,0.890625,1.000000,4,446.138350,382.280663,2095.715545,1293.029016,175
100,100MBps,case1_real,16,0.022766,7.411997,43.925894,6.702626,1.000000,1.000000,5,441.632638,382.538143,2017.741358,1317.026886,177
