Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
12,5.000000,28266,1373,26893,4.860964,0.000397,41.946393,2518.116654,1.735358,0.803608,0.842185,4
12,10.000000,29852,2957,26895,9.912234,0.000386,44.298958,2590.719230,1.757490,0.803608,0.842185,4
12,25.000000,35808,8908,26900,24.888293,0.000349,53.133891,2863.528906,1.840924,0.803608,0.842185,4
13,0.000000,26887,0,26887,0.000000,0.000407,39.907696,2454.844463,1.718750,0.803608,0.842185,4
13,1.000000,27157,266,26891,0.979490,0.000405,40.302698,2467.173958,1.721422,0.803608,0.842185,4
13,5.000000,28266,1373,26893,4.860964,0.000397,41.946393,2518.116654,1.735358,0.803608,0.842185,4
13,10.000000,29852,2957,26895,9.912234,0.000386,44.298958,2590.719230,1.757490,0.803608,0.842185,4
13,25.000000,35808,8908,26900,24.888293,0.000349,53.133891,2863.528906,1.840924,0.803608,0.842185,4
14,0.000000,26839,0,26839,0.000000,0.000404,39.922756,2472.373504,2.803633,0.803232,0.841593,4
14,1.000000,27108,266,26842,0.981260,0.000402,40.318687,2484.644247,2.809745,0.803232,0.841593,4
14,5.000000,28219,1377,26842,4.879691,0.000394,41.971481,2536.022399,2.835023,0.803232,0.841593,4
14,10.000000,29790,2946,26844,9.892581,0.000383,44.305923,2608.210382,2.873952,0.803232,0.841593,4
14,25.000000,35762,8912,26850,24.931492,0.000347,53.183555,2883.011813,3.019983,0.803232,0.841593,4
15,0.000000,26839,0,26839,0.000000,0.000404,39.922756,2472.373504,2.803633,0.803232,0.841593,4
15,1.000000,27108,266,26842,0.981260,0.000402,40.318687,2484.644247,2.809745,0.803232,0.841593,4
15,5.000000,28219,1377,26842,4.879691,0.000394,41.971481,2536.022399,2.835023,0.803232,0.841593,4
15,10.000000,29790,2946,26844,9.892581,0.000383,44.305923,2608.210382,2.873952,0.803232,0.841593,4
15,25.000000,35762,8912,26850,24.931492,0.000347,53.183555,2883.011813,3.019983,0.803232,0.841593,4
16,0.000000,26933,0,26933,0.000000,0.000421,39.598150,2374.474227,2.109375,0.761392,0.797505,4
16,1.000000,27202,266,26936,0.977869,0.000419,39.989332,2386.506786,2.113183,0.761392,0.797505,4
16,5.000000,28318,1379,26939,4.869694,0.000411,41.625969,2435.735922,2.136466,0.761392,0.797505,4
16,10.000000,29898,2954,26944,9.893638,0.000399,43.944854,2505.721677,2.169196,0.761392,0.797505,4
16,25.000000,35856,8911,26945,24.857764,0.000361,52.701643,2768.590968,2.300691,0.761392,0.797505,4
17,0.000000,26933,0,26933,0.000000,0.000421,39.598150,2374.474227,2.109375,0.761392,0.797505,4
