composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,2,43.006022,163.818793,0.006104,0.888672,0.565666,1.454338,0.003961,7.921600
2,2,43.006022,163.818793,0.006104,0.888672,0.565666,1.454338,0.003961,7.921600
3,3,42.969427,163.742009,0.006107,0.888672,0.710805,1.599477,0.003959,7.918400
4,3,42.969427,163.742009,0.006107,0.888672,0.710805,1.599477,0.003959,7.918400
5,3,42.888547,163.477312,0.006117,0.888672,0.717019,1.605691,0.003954,7.907200
6,3,42.888547,163.477312,0.006117,0.888672,0.717019,1.605691,0.003954,7.907200
7,3,42.944479,163.591578,0.006113,1.504355,1.215867,2.720223,0.003959,7.918400
8,3,42.944479,163.591578,0.006113,1.504355,1.215867,2.720223,0.003959,7.918400
9,3,42.838347,163.272207,0.006125,0.888672,1.122409,2.011081,0.003955,7.910400
10,3,42.843073,163.202172,0.006127,2.060547,1.804520,3.865067,0.003960,7.920000
11,3,42.843073,163.202172,0.006127,2.060547,1.804520,3.865067,0.003960,7.920000
12,4,42.903506,163.503635,0.006116,0.888672,0.874281,1.762953,0.003956,7.912000
13,4,42.903506,163.503635,0.006116,0.888672,0.874281,1.762953,0.003956,7.912000
14,4,42.949040,163.597176,0.006113,1.504355,1.372285,2.876641,0.003963,7.926400
15,4,42.949040,163.597176,0.006113,1.504355,1.372285,2.876641,0.003963,7.926400
16,4,42.844601,163.281119,0.006124,0.888672,1.275087,2.163759,0.003957,7.913600
17,4,42.844601,163.281119,0.006124,0.888672,1.275087,2.163759,0.003957,7.913600
18,4,42.888956,163.375368,0.006121,1.504355,1.371554,2.875909,0.003962,7.923200
19,4,42.888956,163.375368,0.006121,1.504355,1.371554,2.875909,0.003962,7.923200
20,4,42.820421,163.153272,0.006129,2.060547,1.942496,4.003043,0.003959,7.918400
21,4,42.776550,162.986021,0.006135,2.676230,2.447725,5.123956,0.003959,7.918400
22,4,42.820421,163.153272,0.006129,2.060547,1.942496,4.003043,0.003959,7.918400
23,4,42.776550,162.986021,0.006135,2.676230,2.447725,5.123956,0.003959,7.918400
24,4,42.836621,163.168129,0.006129,2.060547,1.957947,4.018494,0.003961,7.921600
25,4,42.836621,163.168129,0.006129,2.060547,1.957947,4.018494,0.003961,7.921600
26,4,42.798215,163.075699,0.006132,2.060547,2.354428,4.414975,0.003961,7.921600
27,4,42.813559,163.122581,0.006130,1.504355,1.776296,3.280651,0.003958,7.916800
28,5,42.843101,163.274549,0.006125,0.888672,1.430680,2.319352,0.003958,7.916800
29,5,42.886364,163.366662,0.006121,1.504355,1.526582,3.030937,0.003965,7.929600
30,5,42.886364,163.366662,0.006121,1.504355,1.526582,3.030937,0.003965,7.929600
31,5,42.774497,162.978271,0.006136,2.676230,2.605188,5.281418,0.003960,7.920000
32,5,42.774497,162.978271,0.006136,2.676230,2.605188,5.281418,0.003960,7.920000
33,5,42.794248,163.079812,0.006132,2.060547,2.098019,4.158565,0.003959,7.918400
34,5,42.794248,163.079812,0.006132,2.060547,2.098019,4.158565,0.003959,7.918400
35,5,42.791585,163.058820,0.006133,2.060547,2.505435,4.565982,0.003962,7.924800
36,5,42.791585,163.058820,0.006133,2.060547,2.505435,4.565982,0.003962,7.924800
37,5,42.832262,163.156369,0.006129,1.504355,1.934233,3.438588,0.003962,7.923200
38,5,42.832262,163.156369,0.006129,1.504355,1.934233,3.438588,0.003962,7.923200
39,5,42.755539,162.922787,0.006138,2.676230,2.601165,5.277395,0.003961,7.921600
40,5,42.755539,162.922787,0.006138,2.676230,2.601165,5.277395,0.003961,7.921600
41,5,42.765612,162.927268,0.006138,2.676230,3.012531,5.688761,0.003962,7.924800
42,6,42.792892,163.057864,0.006133,2.060547,2.658151,4.718698,0.003965,7.929600
43,6,42.810183,163.108591,0.006131,1.504355,2.097384,3.601739,0.003962,7.923200
44,6,42.776541,162.961293,0.006136,2.676230,2.762737,5.438968,0.003965,7.929600
45,6,42.776541,162.961293,0.006136,2.676230,2.762737,5.438968,0.003965,7.929600
46,6,42.729017,162.850435,0.006141,2.676230,3.158100,5.834330,0.003961,7.921600
47,6,42.729017,162.850435,0.006141,2.676230,3.158100,5.834330,0.003961,7.921600
48,7,42.763263,162.915404,0.006138,2.676230,3.320008,5.996239,0.003967,7.934400
