Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
11,0.000000,13427,0,13427,0.000000,0.003606,39.030375,277.330520,3.769531,0.833555,0.999723,3
11,1.000000,13559,130,13429,0.958773,0.003588,39.408255,278.707632,3.776665,0.833555,0.999723,3
11,5.000000,14076,647,13429,4.596476,0.003521,40.910222,284.010706,3.809262,0.833555,0.999723,3
11,10.000000,14876,1445,13431,9.720355,0.003421,43.233832,292.333139,3.859342,0.833555,0.999723,3
11,25.000000,17832,4399,13433,24.680350,0.003099,51.822639,322.684409,4.054430,0.833555,0.999723,3
12,0.000000,13445,0,13445,0.000000,0.003249,39.282460,307.791486,1.718750,0.875135,0.994769,4
12,1.000000,13580,131,13449,0.964654,0.003233,39.665340,309.293898,1.722547,0.875135,0.994769,4
12,5.000000,14092,642,13450,4.562873,0.003173,41.157953,315.131810,1.739589,0.875135,0.994769,4
12,10.000000,14894,1441,13453,9.688465,0.003084,43.496584,324.292748,1.764533,0.875135,0.994769,4
12,25.000000,17863,4406,13457,24.676706,0.002791,52.158272,358.299758,1.846606,0.875135,0.994769,4
13,0.000000,13445,0,13445,0.000000,0.003249,39.282460,307.791486,1.718750,0.875135,0.999831,4
13,1.000000,13580,131,13449,0.964654,0.003233,39.665340,309.293898,1.722547,0.875135,0.999831,4
13,5.000000,14092,642,13450,4.562873,0.003173,41.157953,315.131810,1.739589,0.875135,0.999831,4
13,10.000000,14894,1441,13453,9.688465,0.003084,43.496584,324.292748,1.764533,0.875135,0.999831,4
13,25.000000,17863,4406,13457,24.676706,0.002791,52.158272,358.299758,1.846606,0.875135,0.999831,4
14,0.000000,13421,0,13421,0.000000,0.006355,39.295432,157.367029,2.803633,1.000000,0.993465,4
14,1.000000,13554,131,13423,0.966504,0.006324,39.679014,158.134239,2.810424,1.000000,0.993465,4
14,5.000000,14067,643,13424,4.570982,0.006206,41.178626,161.140159,2.832923,1.000000,0.993465,4
14,10.000000,14868,1441,13427,9.705408,0.006031,43.516682,165.823037,2.863561,1.000000,0.993465,4
14,25.000000,17852,4419,13433,24.787139,0.005456,52.242879,183.288748,3.018806,1.000000,0.993465,4
15,0.000000,13421,0,13421,0.000000,0.006355,39.295432,157.367029,2.803633,1.000000,1.000000,4
15,1.000000,13554,131,13423,0.966504,0.006324,39.679014,158.134239,2.810424,1.000000,1.000000,4
15,5.000000,14067,643,13424,4.570982,0.006206,41.178626,161.140159,2.832923,1.000000,1.000000,4
15,10.000000,14868,1441,13427,9.705408,0.006031,43.516682,165.823037,2.863561,1.000000,1.000000,4
15,25.000000,17852,4419,13433,24.787139,0.005456,52.242879,183.288748,3.018806,1.000000,1.000000,4
16,0.000000,13437,0,13437,0.000000,0.003306,39.128530,302.500211,2.109375,0.875139,0.999827,4
16,1.000000,13569,131,13438,0.965436,0.003290,39.510099,303.968204,2.116255,0.875139,0.999827,4
16,5.000000,14074,634,13440,4.511866,0.003229,40.977932,309.664892,2.137187,0.875139,0.999827,4
16,10.000000,14870,1429,13441,9.623403,0.003139,43.293108,318.588128,2.175339,0.875139,0.999827,4
16,25.000000,17847,4397,13450,24.642797,0.002841,51.936080,352.026693,2.306501,0.875139,0.999827,4
17,0.000000,13437,0,13437,0.000000,0.003306,39.128530,302.500211,2.109375,0.875139,0.999827,4
17,1.000000,13569,131,13438,0.965436,0.003290,39.510099,303.968204,2.116255,0.875139,0.999827,4
17,5.000000,14074,634,13440,4.511866,0.003229,40.977932,309.664892,2.137187,0.875139,0.999827,4
17,10.000000,14870,1429,13441,9.623403,0.003139,43.293108,318.588128,2.175339,0.875139,0.999827,4
17,25.000000,17847,4397,13450,24.642797,0.002841,51.936080,352.026693,2.306501,0.875139,0.999827,4
18,0.000000,13425,0,13425,0.000000,0.006379,39.143056,156.757525,2.803633,1.000000,0.994932,4
18,1.000000,13560,132,13428,0.973451,0.006348,39.527997,157.527525,2.809649,1.000000,0.994932,4
18,5.000000,14074,644,13430,4.575814,0.006230,41.021296,160.520891,2.832489,1.000000,0.994932,4
18,10.000000,14872,1443,13429,9.702797,0.006054,43.351295,165.187486,2.872559,1.000000,0.994932,4
18,25.000000,17844,4405,13439,24.719794,0.005480,51.995166,182.495409,3.011008,1.000000,0.994932,4
19,0.000000,13425,0,13425,0.000000,0.006379,39.143056,156.757525,2.803633,1.000000,1.000000,4
19,1.000000,13560,132,13428,0.973451,0.006348,39.527997,157.527525,2.809649,1.000000,1.000000,4
19,5.000000,14074,644,13430,4.575814,0.006230,41.021296,160.520891,2.832489,1.000000,1.000000,4
19,10.000000,14872,1443,13429,9.702797,0.006054,43.351295,165.187486,2.872559,1.000000,1.000000,4
19,25.000000,17844,4405,13439,24.719794,0.005480,51.995166,182.495409,3.011008,1.000000,1.000000,4
20,0.000000,13428,0,13428,0.000000,0.003606,39.026428,277.314732,3.916016,0.875166,0.966402,4
20,1.000000,13562,131,13431,0.965934,0.003588,39.407178,278.697583,3.924746,0.875166,0.966402,4
20,5.000000,14075,644,13431,4.582593,0.003521,40.899046,283.980435,3.957529,0.875166,0.966402,4
20,10.000000,14873,1439,13434,9.675250,0.003421,43.209246,292.270266,4.013084,0.875166,0.966402,4
20,25.000000,17833,4396,13437,24.662143,0.003099,51.808616,322.654299,4.225088,0.875166,0.966402,4
21,0.000000,13419,0,13419,0.000000,0.006416,38.917325,155.854599,5.000898,1.000000,0.966610,4
21,1.000000,13551,130,13421,0.959339,0.006385,39.294216,156.608502,5.011195,1.000000,0.966610,4
21,5.000000,14066,643,13423,4.571307,0.006266,40.782511,159.591882,5.056818,1.000000,0.966610,4
21,10.000000,14852,1430,13422,9.635066,0.006091,43.067262,164.167910,5.119366,1.000000,0.966610,4
21,25.000000,17821,4394,13427,24.678750,0.005513,51.666845,181.387256,5.379306,1.000000,0.966610,4
22,0.000000,13428,0,13428,0.000000,0.003606,39.026428,277.314732,3.916016,0.875166,0.999792,4
22,1.000000,13562,131,13431,0.965934,0.003588,39.407178,278.697583,3.924746,0.875166,0.999792,4
22,5.000000,14075,644,13431,4.582593,0.003521,40.899046,283.980435,3.957529,0.875166,0.999792,4
22,10.000000,14873,1439,13434,9.675250,0.003421,43.209246,292.270266,4.013084,0.875166,0.999792,4
22,25.000000,17833,4396,13437,24.662143,0.003099,51.808616,322.654299,4.225088,0.875166,0.999792,4
23,0.000000,13419,0,13419,0.000000,0.006416,38.917325,155.854599,5.000898,1.000000,1.000000,4
23,1.000000,13551,130,13421,0.959339,0.006385,39.294216,156.608502,5.011195,1.000000,1.000000,4
23,5.000000,14066,643,13423,4.571307,0.006266,40.782511,159.591882,5.056818,1.000000,1.000000,4
23,10.000000,14852,1430,13422,9.635066,0.006091,43.067262,164.167910,5.119366,1.000000,1.000000,4
23,25.000000,17821,4394,13427,24.678750,0.005513,51.666845,181.387256,5.379306,1.000000,1.000000,4
24,0.000000,13427,0,13427,0.000000,0.003607,39.000148,277.209612,3.916016,0.875166,0.973006,4
24,1.000000,13560,130,13430,0.958702,0.003590,39.377828,278.586323,3.923329,0.875166,0.973006,4
24,5.000000,14073,640,13433,4.554821,0.003523,40.862005,283.865501,3.957914,0.875166,0.973006,4
24,10.000000,14883,1444,13439,9.715783,0.003422,43.194782,292.194776,4.013046,0.875166,0.973006,4
24,25.000000,17832,4390,13442,24.652310,0.003101,51.762811,322.516054,4.219810,0.875166,0.973006,4
25,0.000000,13427,0,13427,0.000000,0.003607,39.000148,277.209612,3.916016,0.875166,0.999792,4
25,1.000000,13560,130,13430,0.958702,0.003590,39.377828,278.586323,3.923329,0.875166,0.999792,4
25,5.000000,14073,640,13433,4.554821,0.003523,40.862005,283.865501,3.957914,0.875166,0.999792,4
25,10.000000,14883,1444,13439,9.715783,0.003422,43.194782,292.194776,4.013046,0.875166,0.999792,4
25,25.000000,17832,4390,13442,24.652310,0.003101,51.762811,322.516054,4.219810,0.875166,0.999792,4
26,0.000000,13427,0,13427,0.000000,0.003608,38.980306,277.130245,4.306641,0.875166,0.999792,4
26,1.000000,13560,131,13429,0.966077,0.003591,39.360744,278.500836,4.316776,0.875166,0.999792,4
26,5.000000,14072,642,13430,4.562251,0.003524,40.844618,283.756136,4.362228,0.875166,0.999792,4
26,10.000000,14871,1437,13434,9.676552,0.003423,43.155634,292.157888,4.418927,0.875166,0.999792,4
26,25.000000,17838,4398,13440,24.677654,0.003099,51.754486,322.686128,4.665140,0.875166,0.999792,4
27,0.000000,13418,0,13418,0.000000,0.006404,38.993807,156.160526,3.194258,1.000000,1.000000,4
27,1.000000,13553,131,13422,0.966576,0.006373,39.374579,156.922263,3.202616,1.000000,1.000000,4
27,5.000000,14064,642,13422,4.564846,0.006254,40.859995,159.899766,3.237417,1.000000,1.000000,4
27,10.000000,14859,1435,13424,9.670907,0.006078,43.168664,164.523773,3.288497,1.000000,1.000000,4
27,25.000000,17834,4405,13429,24.716833,0.005500,51.802351,181.811351,3.467468,1.000000,1.000000,4
28,0.000000,13438,0,13438,0.000000,0.003306,39.124583,302.484423,2.255859,0.900111,0.999861,5
28,1.000000,13569,131,13438,0.965436,0.003290,39.506094,303.952251,2.263383,0.900111,0.999861,5
28,5.000000,14085,641,13444,4.558040,0.003229,40.989184,309.673702,2.291027,0.900111,0.999861,5
28,10.000000,14876,1430,13446,9.619521,0.003139,43.282649,318.565236,2.327860,0.900111,0.999861,5
28,25.000000,17846,4393,13453,24.644178,0.002841,51.919346,351.956038,2.477837,0.900111,0.999861,5
29,0.000000,13426,0,13426,0.000000,0.006380,39.139109,156.741736,2.950117,1.000000,0.995946,5
29,1.000000,13561,131,13430,0.966005,0.006349,39.521080,157.505773,2.956932,1.000000,0.995946,5
29,5.000000,14076,644,13432,4.575163,0.006230,41.017168,160.504717,2.982263,1.000000,0.995946,5
29,10.000000,14878,1441,13437,9.698884,0.006054,43.345174,165.167424,3.018118,1.000000,0.995946,5
29,25.000000,17846,4403,13443,24.700213,0.005480,51.986959,182.471124,3.185056,1.000000,0.995946,5
30,0.000000,13426,0,13426,0.000000,0.006380,39.139109,156.741736,2.950117,1.000000,1.000000,5
30,1.000000,13561,131,13430,0.966005,0.006349,39.521080,157.505773,2.956932,1.000000,1.000000,5
30,5.000000,14076,644,13432,4.575163,0.006230,41.017168,160.504717,2.982263,1.000000,1.000000,5
30,10.000000,14878,1441,13437,9.698884,0.006054,43.345174,165.167424,3.018118,1.000000,1.000000,5
30,25.000000,17846,4403,13443,24.700213,0.005480,51.986959,182.471124,3.185056,1.000000,1.000000,5
31,0.000000,13420,0,13420,0.000000,0.006417,38.913378,155.838811,5.147383,1.000000,0.973288,5
31,1.000000,13554,131,13423,0.966504,0.006386,39.293139,156.598452,5.159275,1.000000,0.973288,5
31,5.000000,14062,639,13423,4.544162,0.006268,40.766645,159.552136,5.205830,1.000000,0.973288,5
31,10.000000,14854,1425,13429,9.606840,0.006093,43.050093,164.125799,5.267907,1.000000,0.973288,5
31,25.000000,17825,4390,13435,24.673212,0.005514,51.656896,181.359512,5.546115,1.000000,0.973288,5
32,0.000000,13420,0,13420,0.000000,0.006417,38.913378,155.838811,5.147383,1.000000,1.000000,5
32,1.000000,13554,131,13423,0.966504,0.006386,39.293139,156.598452,5.159275,1.000000,1.000000,5
32,5.000000,14062,639,13423,4.544162,0.006268,40.766645,159.552136,5.205830,1.000000,1.000000,5
32,10.000000,14854,1425,13429,9.606840,0.006093,43.050093,164.125799,5.267907,1.000000,1.000000,5
32,25.000000,17825,4390,13435,24.673212,0.005514,51.656896,181.359512,5.546115,1.000000,1.000000,5
33,0.000000,13428,0,13428,0.000000,0.003608,38.996201,277.193823,4.062500,0.900133,0.978405,5
33,1.000000,13562,130,13432,0.958561,0.003590,39.373839,278.570450,4.070636,0.900133,0.978405,5
33,5.000000,14079,641,13438,4.559983,0.003523,40.858415,283.856304,4.107154,0.900133,0.978405,5
33,10.000000,14874,1438,13436,9.674600,0.003423,43.173572,292.138487,4.164221,0.900133,0.978405,5
33,25.000000,17833,4389,13444,24.650928,0.003101,51.753778,322.507415,4.385989,0.900133,0.978405,5
34,0.000000,13428,0,13428,0.000000,0.003608,38.996201,277.193823,4.062500,0.900133,0.999834,5
34,1.000000,13562,130,13432,0.958561,0.003590,39.373839,278.570450,4.070636,0.900133,0.999834,5
34,5.000000,14079,641,13438,4.559983,0.003523,40.858415,283.856304,4.107154,0.900133,0.999834,5
34,10.000000,14874,1438,13436,9.674600,0.003423,43.173572,292.138487,4.164221,0.900133,0.999834,5
34,25.000000,17833,4389,13444,24.650928,0.003101,51.753778,322.507415,4.385989,0.900133,0.999834,5
35,0.000000,13428,0,13428,0.000000,0.003609,38.976359,277.114456,4.453125,0.900133,0.999834,5
35,1.000000,13562,131,13431,0.965934,0.003591,39.356763,278.484979,4.463904,0.900133,0.999834,5
35,5.000000,14069,634,13435,4.513469,0.003525,40.817155,283.693388,4.507466,0.900133,0.999834,5
