composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,2,38.914122,155.656488,0.006424,0.888672,0.537109,1.425781,0.001790,3.580800
2,2,38.914122,155.656488,0.006424,0.888672,0.537109,1.425781,0.001790,3.580800
3,3,38.927859,155.711434,0.006422,0.888672,0.683594,1.572266,0.001790,3.580800
4,3,38.927859,155.711434,0.006422,0.888672,0.683594,1.572266,0.001790,3.580800
5,3,38.902227,155.608906,0.006426,0.888672,0.683594,1.572266,0.001791,3.582400
6,3,38.902227,155.608906,0.006426,0.888672,0.683594,1.572266,0.001791,3.582400
7,3,39.011207,156.044827,0.006408,1.504355,1.152793,2.657148,0.001790,3.580800
8,3,39.011207,156.044827,0.006408,1.504355,1.152793,2.657148,0.001790,3.580800
9,3,38.915033,155.660132,0.006424,0.888672,1.074219,1.962891,0.001790,3.580800
10,3,39.075741,156.302965,0.006398,2.060547,1.708984,3.769531,0.001790,3.580800
11,3,39.075741,156.302965,0.006398,2.060547,1.708984,3.769531,0.001790,3.580800
12,4,38.915963,155.663852,0.006424,0.888672,0.830078,1.718750,0.001791,3.582400
13,4,38.915963,155.663852,0.006424,0.888672,0.830078,1.718750,0.001791,3.582400
14,4,39.024943,156.099773,0.006406,1.504355,1.299277,2.803633,0.001790,3.580800
15,4,39.024943,156.099773,0.006406,1.504355,1.299277,2.803633,0.001790,3.580800
16,4,38.928770,155.715078,0.006422,0.888672,1.220703,2.109375,0.001790,3.580800
17,4,38.928770,155.715078,0.006422,0.888672,1.220703,2.109375,0.001790,3.580800
18,4,38.999551,155.998205,0.006410,1.504355,1.299277,2.803633,0.001791,3.582400
19,4,38.999551,155.998205,0.006410,1.504355,1.299277,2.803633,0.001791,3.582400
20,4,39.089478,156.357910,0.006396,2.060547,1.855469,3.916016,0.001790,3.580800
21,4,39.178022,156.712087,0.006381,2.676230,2.324668,5.000898,0.001791,3.582400
22,4,39.089478,156.357910,0.006396,2.060547,1.855469,3.916016,0.001790,3.580800
23,4,39.178022,156.712087,0.006381,2.676230,2.324668,5.000898,0.001791,3.582400
24,4,39.085122,156.340486,0.006396,2.060547,1.855469,3.916016,0.001791,3.582400
25,4,39.085122,156.340486,0.006396,2.060547,1.855469,3.916016,0.001791,3.582400
26,4,39.120224,156.480896,0.006391,2.060547,2.246094,4.306641,0.001791,3.582400
27,4,39.013126,156.052503,0.006408,1.504355,1.689902,3.194258,0.001791,3.582400
28,5,38.942506,155.770024,0.006420,0.888672,1.367188,2.255859,0.001790,3.580800
29,5,39.013288,156.053151,0.006408,1.504355,1.445762,2.950117,0.001791,3.582400
30,5,39.013288,156.053151,0.006408,1.504355,1.445762,2.950117,0.001791,3.582400
31,5,39.191758,156.767033,0.006379,2.676230,2.471152,5.147383,0.001791,3.582400
32,5,39.191758,156.767033,0.006379,2.676230,2.471152,5.147383,0.001791,3.582400
33,5,39.098858,156.395432,0.006394,2.060547,2.001953,4.062500,0.001791,3.582400
34,5,39.098858,156.395432,0.006394,2.060547,2.001953,4.062500,0.001791,3.582400
35,5,39.133961,156.535842,0.006388,2.060547,2.392578,4.453125,0.001791,3.582400
36,5,39.133961,156.535842,0.006388,2.060547,2.392578,4.453125,0.001791,3.582400
37,5,39.026862,156.107449,0.006406,1.504355,1.836387,3.340742,0.001791,3.582400
38,5,39.026862,156.107449,0.006406,1.504355,1.836387,3.340742,0.001791,3.582400
39,5,39.187402,156.749609,0.006380,2.676230,2.471152,5.147383,0.001792,3.584000
40,5,39.187402,156.749609,0.006380,2.676230,2.471152,5.147383,0.001792,3.584000
41,5,39.222505,156.890019,0.006374,2.676230,2.861777,5.538008,0.001792,3.584000
42,6,39.147697,156.590788,0.006386,2.060547,2.539062,4.599609,0.001791,3.582400
43,6,39.040599,156.162395,0.006404,1.504355,1.982871,3.487227,0.001791,3.582400
44,6,39.201139,156.804555,0.006377,2.676230,2.617637,5.293867,0.001792,3.584000
45,6,39.201139,156.804555,0.006377,2.676230,2.617637,5.293867,0.001792,3.584000
46,6,39.236241,156.944965,0.006372,2.676230,3.008262,5.684492,0.001792,3.584000
47,6,39.236241,156.944965,0.006372,2.676230,3.008262,5.684492,0.001792,3.584000
48,7,39.249978,156.999911,0.006369,2.676230,3.154746,5.830977,0.001792,3.584000
