Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
6,18h,0.002022,9.426514,494.579363,0.960461,0.758814,0.768910,3,112,34,30.357143,17454464.500000,2072924.750000,71789.357910,513366.602941,60968.375000,2111.451703,573217.500000,64799.700000,34804.526367
6,24h,0.002008,9.578340,497.950144,0.930081,0.758814,0.768910,3,86,24,27.906977,17751469.900000,2073553.950000,46406.223145,739644.579167,86398.081250,1933.592631,764290.000000,86399.950000,46406.223145
7,1h,0.004376,9.031044,228.498736,2.192163,0.858948,0.877561,3,1923,452,23.504940,13039384.000000,1623617.000000,92049.316406,28848.194690,3592.073009,203.648930,66434.000000,3600.000000,2285.156250
7,6h,0.004299,9.394434,232.628826,2.205421,0.858948,0.877561,3,327,90,27.522936,15045449.500000,1911281.150000,102911.188965,167171.661111,21236.457222,1143.457655,398660.300000,21599.200000,2766.015625
7,12h,0.004269,9.551214,234.244583,2.229208,0.858948,0.877561,3,166,43,25.903614,13467807.800000,1804307.100000,106404.790039,313204.832558,41960.630233,2474.530001,797376.900000,43198.400000,17081.352539
7,18h,0.004407,9.427101,226.933227,2.160422,0.858948,0.877561,3,112,31,27.678571,13805004.500000,2008721.750000,91287.109375,445322.725806,64797.475806,2944.745464,1196093.500000,64797.600000,8298.828125
7,24h,0.004440,9.583942,225.213166,2.175504,0.858948,0.877561,3,87,22,25.287356,11872490.700000,1819973.050000,78178.515625,539658.668182,82726.047727,3553.568892,1594810.100000,86397.350000,11065.234375
8,1h,0.005292,9.030996,188.964587,5.017727,0.717720,0.723329,3,1925,459,23.844156,13275143.400000,1645317.200000,245182.426758,28921.881046,3584.569063,534.166507,95807.400000,3600.000000,2285.156250
8,6h,0.005221,9.348339,191.551103,5.031680,0.717720,0.723329,3,327,89,27.217125,15124199.600000,1882577.800000,281690.791016,169934.826966,21152.559551,3165.065068,574844.400000,21599.200000,11573.554688
8,12h,0.005250,9.578300,190.464606,4.974885,0.717720,0.723329,3,166,42,25.301205,13274712.600000,1814332.300000,231481.542969,316064.585714,43198.388095,5511.465309,1149740.700000,43198.400000,23148.154297
8,18h,0.005205,9.530261,192.124029,5.025437,0.717720,0.723329,3,113,31,27.433628,15009282.000000,1982283.000000,263608.710938,484170.387097,63944.612903,8503.506804,1724637.000000,64798.500000,34722.753906
8,24h,0.005138,9.664712,194.612147,5.062762,0.717720,0.723329,3,86,26,30.232558,18207283.500000,2246329.750000,324081.474609,700280.134615,86397.298077,12464.672100,2299533.300000,86398.650000,46297.353516
9,1h,0.004906,9.036964,203.813720,2.560155,0.881173,0.889815,3,1921,459,23.893805,13260399.200000,1651118.900000,137473.925781,28889.758606,3597.208932,299.507464,74114.800000,3600.000000,1691.894531
9,6h,0.004878,9.391532,204.995069,2.607975,0.881173,0.889815,3,326,93,28.527607,14692532.400000,1951561.100000,171078.129883,157984.219355,20984.527957,1839.549784,444744.400000,21600.000000,10151.367188
9,12h,0.004673,9.548343,213.977151,2.566674,0.881173,0.889815,3,167,43,25.748503,14213244.400000,1784386.100000,116482.280273,330540.567442,41497.351163,2708.890239,889544.400000,43200.000000,20302.734375
9,18h,0.004895,9.444307,204.283901,2.599625,0.881173,0.889815,3,112,34,30.357143,14285505.600000,2090716.800000,162725.156250,420161.929412,61491.670588,4786.034007,1334400.000000,64800.000000,30454.101562
9,24h,0.004879,9.517484,204.957412,2.544281,0.881173,0.889815,3,84,22,26.190476,11991382.000000,1839911.300000,119086.955566,545062.818182,83632.331818,5413.043435,1779144.400000,86397.300000,40293.596191
10,1h,0.006066,9.023388,164.853594,5.377616,0.773810,0.765476,3,1925,465,24.155844,13390621.400000,1666480.200000,290285.834961,28797.035269,3583.828387,624.270613,115200.000000,3600.000000,2351.074219
10,6h,0.005984,9.351311,167.110493,5.355364,0.773810,0.765476,3,325,84,25.846154,14288114.400000,1798039.200000,276704.707031,170096.600000,21405.228571,3294.103655,691200.000000,21600.000000,14106.445312
10,12h,0.005752,9.511766,173.858413,5.495378,0.773810,0.765476,3,164,48,29.268293,21203980.800000,2050182.400000,424280.976562,441749.600000,42712.133333,8839.187012,1382400.000000,43200.000000,28212.890625
10,18h,0.006165,9.365959,162.205187,5.255091,0.773810,0.765476,3,111,31,27.927928,13145632.800000,1947578.400000,277844.208984,424052.670968,62825.109677,8962.716419,2073600.000000,64800.000000,42319.335938
