composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.016922,56.135375,0.017814,0.449219,0.000000,0.449219,0.001920,1.920000
2,2,7.008510,56.068076,0.017835,0.449219,0.063477,0.512695,0.001920,1.920000
3,2,7.024880,56.199036,0.017794,0.449219,0.375977,0.825195,0.001920,1.920000
4,2,7.396011,59.168085,0.016901,2.539062,2.089844,4.628906,0.001928,1.928000
5,2,7.135012,57.080095,0.017519,1.230469,0.781250,2.011719,0.001920,1.920000
6,3,7.030447,56.243578,0.017780,0.449219,0.439453,0.888672,0.001928,1.928000
7,3,7.398038,59.184306,0.016896,2.539062,2.153320,4.692383,0.001928,1.928000
8,3,7.134640,57.077116,0.017520,1.230469,0.844727,2.075195,0.001920,1.920000
9,3,7.426048,59.408386,0.016833,2.539062,2.465820,5.004883,0.001928,1.928000
10,3,7.159650,57.277196,0.017459,1.230469,1.157227,2.387695,0.001920,1.920000
11,3,7.542001,60.336005,0.016574,3.320312,2.871094,6.191406,0.001928,1.928000
12,4,7.431616,59.452928,0.016820,2.539062,2.529297,5.068359,0.001936,1.936000
13,4,7.165217,57.321737,0.017445,1.230469,1.220703,2.451172,0.001928,1.928000
14,4,7.544028,60.352226,0.016569,3.320312,2.934570,6.254883,0.001928,1.928000
15,4,7.572038,60.576306,0.016508,3.320312,3.247070,6.567383,0.001928,1.928000
16,5,7.577606,60.620848,0.016496,3.320312,3.310547,6.630859,0.001936,1.936000
