composition_number,total_groups,wall_time_per_event,cpu_time_per_event,event_throughput,total_write_remote_mb_per_event,total_read_remote_mb_per_event,network_transfer_mb_per_event,cpu_cores_per_event,memory_mb_per_event
1,1,7.727533,58.815862,0.017002,0.449219,0.000000,0.449219,0.002125,2.124800
2,2,7.710859,58.480170,0.017100,0.449219,0.066385,0.515604,0.002118,2.117600
3,2,7.676408,56.823230,0.017598,0.449219,0.389845,0.839064,0.002061,2.060800
4,2,7.685625,50.047538,0.019981,2.539062,2.207825,4.746888,0.001803,1.927000
5,2,7.691076,45.374199,0.022039,1.230469,0.821894,2.052363,0.001646,1.392200
6,3,7.675474,56.064036,0.017837,0.449219,0.458015,0.907234,0.002033,2.060000
7,3,7.690360,50.061469,0.019975,2.539062,2.276431,4.815493,0.001810,1.926800
8,3,7.690236,45.372107,0.022040,1.230469,0.888954,2.119423,0.001651,1.388800
9,3,7.693683,50.067933,0.019973,2.539062,2.608944,5.148006,0.001809,1.871600
10,3,7.679445,45.332584,0.022059,1.230469,1.216467,2.446936,0.001647,1.331400
11,3,7.713044,45.479649,0.021988,3.320312,3.019140,6.339453,0.001646,1.350600
12,4,7.674404,49.288990,0.020289,2.539062,2.665225,5.204288,0.001780,1.870000
13,4,7.672858,44.581142,0.022431,1.230469,1.279763,2.510232,0.001622,1.333800
14,4,7.708995,45.464276,0.021995,3.320312,3.086194,6.406507,0.001648,1.344200
15,4,7.685254,45.416565,0.022018,3.320312,3.407177,6.727490,0.001644,1.284000
16,5,7.685042,44.670387,0.022386,3.320312,3.473923,6.794236,0.001618,1.285600
